#time,accel_x,accel_y,accel_z
148.111002,229.828649,-148.041188,9178.553681
148.111326,0.000000,-0.000000,9326.594869
148.111651,153.219100,-0.000000,9326.594869
148.111976,0.000000,-0.000000,9252.574275
148.112301,0.000000,148.041188,9178.553681
148.112626,0.000000,-0.000000,9030.512492
148.112951,0.000000,-0.000000,9178.553681
148.113276,0.000000,-74.020594,9252.574275
148.113600,0.000000,-74.020594,9252.574275
148.113925,229.828649,-148.041188,9104.533087
148.114250,0.000000,-0.000000,9178.553681
148.114575,0.000000,148.041188,9474.636058
148.114900,76.609550,-0.000000,9030.512492
148.115225,0.000000,-222.061783,9400.615463
148.115550,306.438199,-0.000000,9400.615463
148.115875,459.657299,-0.000000,9326.594869
148.116199,0.000000,-0.000000,9326.594869
148.116524,153.219100,-0.000000,9400.615463
148.116849,229.828649,148.041188,8956.491898
148.117174,76.609550,-0.000000,9178.553681
148.117499,229.828649,222.061783,9252.574275
148.117824,536.266849,-296.082377,8956.491898
148.118149,76.609550,-148.041188,9400.615463
148.118474,0.000000,-444.123565,9326.594869
148.118798,229.828649,-296.082377,9178.553681
148.119123,76.609550,-222.061783,9104.533087
148.119448,153.219100,-296.082377,9474.636058
148.119773,229.828649,-148.041188,9474.636058
148.120098,153.219100,-74.020594,9252.574275
148.120423,229.828649,-74.020594,9178.553681
148.120748,229.828649,-222.061783,8586.388927
148.121073,612.876398,-148.041188,9252.574275
148.121397,306.438199,148.041188,9104.533087
148.121722,0.000000,-74.020594,8956.491898
148.122047,229.828649,-74.020594,9104.533087
148.122372,383.047749,-148.041188,9252.574275
148.122697,459.657299,-222.061783,9178.553681
148.123022,0.000000,-222.061783,9548.656652
148.123347,459.657299,-888.247130,9400.615463
148.123672,229.828649,-0.000000,9326.594869
148.123996,229.828649,-592.164754,9474.636058
148.124321,306.438199,-222.061783,8956.491898
148.124646,383.047749,-222.061783,9104.533087
148.124971,766.095498,-0.000000,9252.574275
148.125296,536.266849,296.082377,9104.533087
148.125621,536.266849,-296.082377,9326.594869
148.125946,229.828649,-444.123565,9326.594869
148.126270,229.828649,-296.082377,8882.471304
148.126595,383.047749,-222.061783,8956.491898
148.126920,383.047749,-444.123565,9252.574275
148.127245,536.266849,-740.205942,8956.491898
148.127570,153.219100,-888.247130,9252.574275
148.127895,536.266849,-888.247130,9696.697840
148.128220,383.047749,-518.144159,9474.636058
148.128545,383.047749,-592.164754,9252.574275
148.128869,689.485948,-444.123565,9030.512492
148.129194,306.438199,-444.123565,9030.512492
148.129519,459.657299,-148.041188,9104.533087
148.129844,306.438199,-0.000000,9104.533087
148.130169,229.828649,-222.061783,9252.574275
148.130494,229.828649,-592.164754,8512.368333
148.130819,306.438199,-444.123565,9548.656652
148.131144,0.000000,-518.144159,8956.491898
148.131468,229.828649,-888.247130,9252.574275
148.131793,153.219100,-962.267725,9104.533087
148.132118,306.438199,-962.267725,9326.594869
148.132443,612.876398,-1036.288319,9252.574275
148.132768,612.876398,-592.164754,9252.574275
148.133093,612.876398,-740.205942,8882.471304
148.133418,536.266849,-296.082377,9178.553681
148.133743,383.047749,-74.020594,8956.491898
148.134067,689.485948,-74.020594,8956.491898
148.134392,689.485948,-0.000000,8882.471304
148.134717,689.485948,-296.082377,9104.533087
148.135042,612.876398,-222.061783,8956.491898
148.135367,383.047749,-814.226536,8956.491898
148.135692,306.438199,-592.164754,9178.553681
148.136017,229.828649,-740.205942,9474.636058
148.136342,0.000000,-666.185348,9252.574275
148.136666,-306.438199,-740.205942,9622.677246
148.136991,153.219100,-1110.308913,9622.677246
148.137316,-536.266849,-592.164754,9178.553681
148.137641,0.000000,-666.185348,9178.553681
148.137966,229.828649,-148.041188,9326.594869
148.138291,306.438199,-0.000000,8956.491898
148.138616,459.657299,148.041188,8882.471304
148.138940,153.219100,-0.000000,8734.430116
148.139265,153.219100,222.061783,8956.491898
148.139590,383.047749,-296.082377,7994.224174
148.139915,-153.219100,-222.061783,9178.553681
148.140240,76.609550,-0.000000,9104.533087
148.140565,0.000000,-74.020594,9326.594869
148.140890,0.000000,-148.041188,9178.553681
148.141215,-153.219100,-444.123565,9252.574275
148.141539,0.000000,-370.102971,9326.594869
148.141864,-995.924147,-222.061783,9622.677246
148.142189,0.000000,-370.102971,9548.656652
148.142514,0.000000,-518.144159,9030.512492
148.142839,76.609550,-0.000000,9400.615463
148.143164,229.828649,296.082377,9326.594869
148.143489,306.438199,-74.020594,8956.491898
148.143814,229.828649,148.041188,9326.594869
148.144138,536.266849,-0.000000,9104.533087
148.144463,229.828649,-0.000000,9178.553681
148.144788,153.219100,296.082377,9400.615463
148.145113,536.266849,-0.000000,9178.553681
148.145438,459.657299,-148.041188,9104.533087
148.145763,229.828649,-222.061783,9178.553681
148.146088,383.047749,-74.020594,9326.594869
148.146413,153.219100,-148.041188,9252.574275
148.146737,76.609550,-370.102971,9474.636058
148.147062,76.609550,-444.123565,9326.594869
148.147387,-229.828649,-0.000000,9326.594869
148.147712,0.000000,-148.041188,9474.636058
148.148037,-153.219100,-74.020594,9252.574275
148.148362,0.000000,-0.000000,9178.553681
