#time,accel_x,accel_y,accel_z
142.167099,76.609550,-74.020594,9104.533087
142.167424,153.219100,222.061783,9104.533087
142.167748,0.000000,-74.020594,8882.471304
142.168073,76.609550,-148.041188,9178.553681
142.168398,0.000000,-0.000000,9178.553681
142.168723,0.000000,-0.000000,9178.553681
142.169048,689.485948,-0.000000,9326.594869
142.169373,76.609550,592.164754,9696.697840
142.169698,0.000000,-0.000000,9326.594869
142.170023,76.609550,-74.020594,9104.533087
142.170347,0.000000,-0.000000,8882.471304
142.170672,0.000000,-0.000000,9104.533087
142.170997,0.000000,-0.000000,9178.553681
142.171322,0.000000,-74.020594,9326.594869
142.171647,612.876398,-296.082377,9326.594869
142.171972,306.438199,-0.000000,9252.574275
142.172297,0.000000,370.102971,9252.574275
142.172622,153.219100,296.082377,9252.574275
142.172946,229.828649,296.082377,9104.533087
142.173271,0.000000,148.041188,9030.512492
142.173596,153.219100,-74.020594,9178.553681
142.173921,459.657299,-148.041188,9474.636058
142.174246,0.000000,-0.000000,9474.636058
142.174571,-459.657299,296.082377,9474.636058
142.174896,-153.219100,-0.000000,9400.615463
142.175221,0.000000,-74.020594,9474.636058
142.175545,153.219100,-0.000000,9326.594869
142.175870,153.219100,-0.000000,9326.594869
142.176195,612.876398,-74.020594,9104.533087
142.176520,459.657299,148.041188,9030.512492
142.176845,76.609550,444.123565,9326.594869
142.177170,229.828649,444.123565,8956.491898
142.177495,306.438199,444.123565,9030.512492
142.177820,383.047749,296.082377,9104.533087
142.178145,459.657299,-0.000000,9326.594869
142.178469,0.000000,-0.000000,9030.512492
142.178794,689.485948,-148.041188,9326.594869
142.179119,306.438199,-148.041188,9030.512492
142.179444,306.438199,-0.000000,9252.574275
142.179769,153.219100,296.082377,9104.533087
142.180094,229.828649,370.102971,9252.574275
142.180419,383.047749,148.041188,9178.553681
142.180744,536.266849,962.267725,9178.553681
142.181068,689.485948,370.102971,8808.450710
142.181393,612.876398,222.061783,8956.491898
142.181718,229.828649,592.164754,9326.594869
142.182043,536.266849,592.164754,9030.512492
142.182368,383.047749,370.102971,8956.491898
142.182693,383.047749,592.164754,9326.594869
142.183018,689.485948,148.041188,9474.636058
142.183343,536.266849,148.041188,9178.553681
142.183667,229.828649,814.226536,9474.636058
142.183992,229.828649,148.041188,8956.491898
142.184317,0.000000,444.123565,9178.553681
142.184642,383.047749,592.164754,9326.594869
142.184967,306.438199,814.226536,9030.512492
142.185292,229.828649,592.164754,9252.574275
142.185617,76.609550,592.164754,9474.636058
142.185942,76.609550,296.082377,9400.615463
142.186266,383.047749,296.082377,8660.409521
142.186591,229.828649,592.164754,9104.533087
142.186916,306.438199,592.164754,9400.615463
142.187241,383.047749,444.123565,9252.574275
142.187566,919.314598,592.164754,9326.594869
142.187891,459.657299,814.226536,9474.636058
142.188216,0.000000,444.123565,9252.574275
142.188541,383.047749,592.164754,9104.533087
142.188865,76.609550,370.102971,8956.491898
142.189190,0.000000,592.164754,8882.471304
142.189515,0.000000,592.164754,9178.553681
142.189840,0.000000,222.061783,9474.636058
142.190165,0.000000,296.082377,9326.594869
142.190490,0.000000,-0.000000,9252.574275
142.190815,229.828649,-74.020594,9696.697840
142.191140,229.828649,-0.000000,9400.615463
142.191464,0.000000,-0.000000,9548.656652
142.191789,0.000000,-0.000000,9326.594869
142.192114,612.876398,592.164754,9400.615463
142.192439,1072.533697,444.123565,9252.574275
142.192764,689.485948,370.102971,9104.533087
142.193089,919.314598,1036.288319,8956.491898
142.193414,995.924147,814.226536,8290.306550
142.193739,1149.143247,592.164754,8808.450710
142.194063,1149.143247,592.164754,8882.471304
142.194388,995.924147,444.123565,8882.471304
142.194713,1225.752797,592.164754,9474.636058
142.195038,383.047749,-0.000000,9326.594869
142.195363,76.609550,-0.000000,9474.636058
142.195688,153.219100,-148.041188,8956.491898
142.196013,-229.828649,-0.000000,9326.594869
142.196338,0.000000,-0.000000,9326.594869
142.196663,76.609550,-0.000000,9474.636058
142.196987,153.219100,-0.000000,9252.574275
142.197312,-153.219100,-0.000000,9474.636058
142.197637,0.000000,-0.000000,9326.594869
142.197962,306.438199,-0.000000,9030.512492
142.198287,229.828649,296.082377,9104.533087
142.198612,229.828649,-0.000000,9178.553681
142.198937,383.047749,222.061783,9030.512492
142.199262,459.657299,296.082377,8956.491898
142.199586,689.485948,-0.000000,8512.368333
142.199911,229.828649,148.041188,9252.574275
142.200236,76.609550,-0.000000,9400.615463
142.200561,0.000000,-0.000000,9178.553681
142.200886,-383.047749,-0.000000,9030.512492
142.201211,-229.828649,-370.102971,9622.677246
142.201536,-689.485948,-666.185348,9474.636058
142.201861,0.000000,-592.164754,9844.739029
142.202185,-153.219100,-296.082377,9770.718434
142.202510,-229.828649,-296.082377,9548.656652
142.202835,-153.219100,-0.000000,8956.491898
142.203160,76.609550,-0.000000,9252.574275
142.203485,153.219100,148.041188,8882.471304
142.203810,459.657299,518.144159,8660.409521
142.204135,612.876398,370.102971,8438.347739
142.204460,919.314598,592.164754,8734.430116
142.204784,766.095498,592.164754,8734.430116
142.205109,306.438199,592.164754,8956.491898
142.205434,229.828649,370.102971,8808.450710
142.205759,383.047749,444.123565,9030.512492
142.206084,229.828649,444.123565,9104.533087
142.206409,153.219100,-0.000000,9178.553681
142.206734,153.219100,222.061783,9474.636058
142.207059,-919.314598,-0.000000,9474.636058
142.207383,-919.314598,-0.000000,9252.574275
142.207708,-842.705048,222.061783,9252.574275
142.208033,-612.876398,-0.000000,9104.533087
142.208358,-689.485948,-0.000000,9326.594869
142.208683,-689.485948,-148.041188,8956.491898
