freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.420e+02,2.957e+01,1.869e+01,6.903e+02
1.5,3.777e+02,3.157e+01,2.469e+01,4.340e+02
2.9,4.022e+01,2.097e+01,1.918e+01,8.037e+01
4.4,2.351e+02,2.117e+01,1.933e+01,2.756e+02
5.8,1.056e+03,2.084e+01,1.970e+01,1.097e+03
7.3,1.813e+03,2.375e+01,1.992e+01,1.857e+03
8.7,2.670e+03,2.382e+01,2.039e+01,2.714e+03
10.2,3.849e+03,2.479e+01,2.117e+01,3.895e+03
11.6,5.428e+03,2.285e+01,1.975e+01,5.470e+03
13.1,7.505e+03,2.477e+01,1.956e+01,7.549e+03
14.5,8.516e+03,3.328e+01,1.813e+01,8.568e+03
16.0,8.805e+03,3.496e+01,2.032e+01,8.860e+03
17.4,1.107e+04,3.341e+01,2.295e+01,1.113e+04
18.9,1.369e+04,2.801e+01,2.418e+01,1.374e+04
20.3,1.590e+04,2.326e+01,2.392e+01,1.594e+04
21.8,1.883e+04,1.987e+01,2.453e+01,1.887e+04
23.2,2.274e+04,1.904e+01,2.247e+01,2.278e+04
24.7,2.743e+04,2.159e+01,2.456e+01,2.747e+04
26.1,3.321e+04,2.223e+01,2.952e+01,3.326e+04
27.6,3.994e+04,2.312e+01,4.177e+01,4.000e+04
29.0,4.804e+04,2.327e+01,5.766e+01,4.812e+04
30.5,5.799e+04,2.487e+01,8.624e+01,5.810e+04
31.9,6.952e+04,2.389e+01,1.422e+02,6.968e+04
33.4,8.348e+04,4.036e+01,2.473e+02,8.377e+04
34.9,1.028e+05,1.152e+02,4.066e+02,1.033e+05
36.3,1.247e+05,2.900e+02,5.318e+02,1.255e+05
37.8,1.510e+05,5.677e+02,5.685e+02,1.522e+05
39.2,1.917e+05,9.467e+02,5.814e+02,1.933e+05
40.7,2.541e+05,1.478e+03,6.346e+02,2.562e+05
42.1,3.629e+05,2.297e+03,8.649e+02,3.661e+05
43.6,5.352e+05,2.545e+03,2.551e+03,5.403e+05
45.0,6.871e+05,3.518e+03,5.068e+03,6.957e+05
46.5,8.779e+05,5.211e+03,7.733e+03,8.908e+05
47.9,1.085e+06,5.009e+03,1.359e+04,1.104e+06
49.4,1.200e+06,4.734e+03,1.994e+04,1.225e+06
50.8,1.168e+06,5.240e+03,2.331e+04,1.196e+06
52.3,1.127e+06,6.989e+03,2.471e+04,1.159e+06
53.7,1.239e+06,1.053e+04,3.049e+04,1.280e+06
55.2,1.360e+06,1.518e+04,3.987e+04,1.415e+06
56.6,1.354e+06,1.897e+04,4.580e+04,1.419e+06
58.1,1.277e+06,2.160e+04,4.661e+04,1.346e+06
59.5,1.152e+06,2.263e+04,4.297e+04,1.217e+06
61.0,1.017e+06,2.145e+04,3.833e+04,1.076e+06
62.4,8.959e+05,1.925e+04,3.283e+04,9.480e+05
63.9,7.801e+05,1.679e+04,2.489e+04,8.218e+05
65.3,6.792e+05,1.410e+04,1.866e+04,7.120e+05
66.8,6.151e+05,1.122e+04,1.464e+04,6.410e+05
68.3,5.559e+05,8.675e+03,1.101e+04,5.756e+05
69.7,4.888e+05,8.296e+03,8.127e+03,5.052e+05
71.2,4.203e+05,8.885e+03,5.967e+03,4.351e+05
72.6,3.757e+05,1.034e+04,5.816e+03,3.919e+05
74.1,3.482e+05,1.167e+04,6.620e+03,3.665e+05
75.5,3.251e+05,1.194e+04,7.196e+03,3.442e+05
77.0,3.022e+05,1.197e+04,7.546e+03,3.217e+05
78.4,2.768e+05,1.233e+04,8.349e+03,2.975e+05
79.9,2.647e+05,1.332e+04,9.994e+03,2.881e+05
81.3,2.625e+05,1.458e+04,1.167e+04,2.888e+05
82.8,2.602e+05,1.585e+04,1.331e+04,2.893e+05
84.2,2.561e+05,1.666e+04,1.457e+04,2.873e+05
85.7,2.505e+05,1.706e+04,1.465e+04,2.822e+05
87.1,2.406e+05,1.815e+04,1.438e+04,2.732e+05
88.6,2.293e+05,1.894e+04,1.298e+04,2.612e+05
90.0,2.191e+05,1.942e+04,1.106e+04,2.496e+05
91.5,2.098e+05,2.011e+04,9.458e+03,2.394e+05
92.9,2.042e+05,2.157e+04,8.900e+03,2.347e+05
94.4,1.949e+05,2.292e+04,8.636e+03,2.265e+05
95.8,1.754e+05,2.312e+04,8.007e+03,2.065e+05
97.3,1.626e+05,2.377e+04,7.891e+03,1.943e+05
98.7,1.567e+05,2.477e+04,8.104e+03,1.895e+05
100.2,1.576e+05,2.626e+04,8.553e+03,1.924e+05
101.7,1.630e+05,2.740e+04,9.366e+03,1.997e+05
103.1,1.708e+05,2.893e+04,1.034e+04,2.101e+05
104.6,1.781e+05,3.092e+04,1.114e+04,2.201e+05
106.0,1.869e+05,3.416e+04,1.169e+04,2.328e+05
107.5,1.940e+05,3.998e+04,1.194e+04,2.459e+05
108.9,1.994e+05,4.858e+04,1.135e+04,2.594e+05
110.4,2.057e+05,6.177e+04,1.157e+04,2.790e+05
111.8,2.024e+05,7.314e+04,1.329e+04,2.889e+05
113.3,1.946e+05,8.221e+04,1.601e+04,2.928e+05
114.7,1.992e+05,1.003e+05,1.965e+04,3.191e+05
116.2,2.108e+05,1.238e+05,2.361e+04,3.582e+05
117.6,2.300e+05,1.544e+05,2.907e+04,4.135e+05
119.1,2.541e+05,1.899e+05,3.554e+04,4.796e+05
120.5,2.860e+05,2.298e+05,4.241e+04,5.583e+05
122.0,3.204e+05,2.670e+05,5.063e+04,6.380e+05
123.4,3.475e+05,2.943e+05,5.894e+04,7.008e+05
124.9,3.672e+05,3.219e+05,7.070e+04,7.597e+05
126.3,3.928e+05,3.770e+05,8.222e+04,8.520e+05
127.8,4.203e+05,4.345e+05,9.796e+04,9.528e+05
129.2,4.321e+05,4.591e+05,1.142e+05,1.005e+06
130.7,3.832e+05,4.020e+05,1.082e+05,8.934e+05
