freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.695e+00,9.736e+02,3.508e+02,1.332e+03
1.5,2.523e+01,5.575e+02,2.075e+02,7.903e+02
3.0,2.729e+01,2.411e+01,1.547e+01,6.687e+01
4.5,2.790e+01,2.992e+02,1.640e+01,3.435e+02
6.0,2.852e+01,1.213e+03,1.728e+01,1.258e+03
7.5,2.708e+01,2.154e+03,1.826e+01,2.199e+03
9.1,2.680e+01,3.336e+03,1.758e+01,3.381e+03
10.6,2.732e+01,5.090e+03,1.693e+01,5.134e+03
12.1,2.796e+01,7.428e+03,1.636e+01,7.472e+03
13.6,4.143e+01,8.833e+03,1.768e+01,8.892e+03
15.1,8.412e+01,8.167e+03,2.204e+01,8.273e+03
16.6,1.008e+02,1.071e+04,1.963e+01,1.083e+04
18.1,1.163e+02,1.274e+04,2.098e+01,1.288e+04
19.6,9.188e+01,1.266e+04,2.379e+01,1.278e+04
21.1,4.730e+01,1.519e+04,2.973e+01,1.526e+04
22.6,5.307e+01,2.007e+04,3.532e+01,2.016e+04
24.1,6.338e+01,2.672e+04,4.552e+01,2.682e+04
25.7,4.700e+01,3.613e+04,7.414e+01,3.625e+04
27.2,3.929e+01,4.742e+04,1.375e+02,4.760e+04
28.7,4.758e+01,6.449e+04,2.991e+02,6.484e+04
30.2,5.849e+01,9.012e+04,6.653e+02,9.084e+04
31.7,7.047e+01,1.292e+05,1.519e+03,1.308e+05
33.2,6.376e+01,1.932e+05,3.592e+03,1.968e+05
34.7,6.915e+01,3.113e+05,8.737e+03,3.201e+05
36.2,8.583e+01,5.534e+05,2.304e+04,5.765e+05
37.7,7.926e+01,1.103e+06,7.018e+04,1.173e+06
39.2,8.890e+01,2.288e+06,2.144e+05,2.502e+06
40.7,1.044e+02,3.500e+06,4.143e+05,3.914e+06
42.3,1.773e+02,3.607e+06,5.222e+05,4.129e+06
43.8,3.290e+02,2.843e+06,5.254e+05,3.369e+06
45.3,4.174e+02,1.952e+06,4.863e+05,2.439e+06
46.8,3.940e+02,1.333e+06,4.573e+05,1.791e+06
48.3,3.396e+02,9.152e+05,4.151e+05,1.331e+06
49.8,4.766e+02,7.079e+05,4.484e+05,1.157e+06
51.3,2.059e+03,7.100e+05,7.203e+05,1.432e+06
52.8,6.348e+03,7.283e+05,1.355e+06,2.090e+06
54.3,7.481e+03,5.334e+05,1.757e+06,2.298e+06
55.8,3.231e+03,2.500e+05,1.428e+06,1.681e+06
57.3,8.117e+02,9.856e+04,9.518e+05,1.051e+06
58.9,4.815e+02,4.061e+04,5.978e+05,6.388e+05
60.4,8.938e+02,2.219e+04,3.769e+05,4.000e+05
61.9,1.577e+03,1.947e+04,2.519e+05,2.729e+05
63.4,2.970e+03,2.141e+04,1.798e+05,2.042e+05
64.9,5.203e+03,2.397e+04,1.325e+05,1.617e+05
66.4,8.468e+03,2.679e+04,1.030e+05,1.382e+05
67.9,1.310e+04,2.958e+04,8.529e+04,1.280e+05
69.4,1.604e+04,3.251e+04,7.374e+04,1.223e+05
70.9,1.599e+04,3.693e+04,6.768e+04,1.206e+05
72.4,1.481e+04,4.070e+04,6.338e+04,1.189e+05
73.9,1.362e+04,4.249e+04,5.699e+04,1.131e+05
75.5,1.317e+04,4.254e+04,5.008e+04,1.058e+05
77.0,1.312e+04,4.181e+04,4.427e+04,9.920e+04
78.5,1.242e+04,3.861e+04,3.837e+04,8.940e+04
80.0,1.232e+04,3.429e+04,3.437e+04,8.097e+04
81.5,1.242e+04,2.864e+04,3.191e+04,7.296e+04
83.0,9.908e+03,2.265e+04,3.024e+04,6.280e+04
84.5,6.722e+03,1.809e+04,2.892e+04,5.373e+04
86.0,4.436e+03,1.639e+04,2.836e+04,4.918e+04
87.5,2.469e+03,1.639e+04,2.795e+04,4.681e+04
89.0,1.286e+03,1.667e+04,2.774e+04,4.570e+04
90.6,7.733e+02,1.608e+04,2.679e+04,4.364e+04
92.1,1.388e+03,1.490e+04,2.608e+04,4.237e+04
93.6,3.030e+03,1.491e+04,2.688e+04,4.482e+04
95.1,3.602e+03,1.704e+04,3.094e+04,5.158e+04
96.6,2.814e+03,1.995e+04,3.627e+04,5.904e+04
98.1,1.934e+03,2.249e+04,4.055e+04,6.497e+04
99.6,1.278e+03,2.669e+04,4.665e+04,7.462e+04
101.1,9.409e+02,3.298e+04,5.659e+04,9.051e+04
102.6,9.154e+02,4.154e+04,7.048e+04,1.129e+05
104.1,1.182e+03,5.330e+04,8.977e+04,1.443e+05
105.6,1.788e+03,6.424e+04,1.083e+05,1.744e+05
107.2,2.275e+03,6.701e+04,1.111e+05,1.804e+05
108.7,2.462e+03,5.354e+04,9.002e+04,1.460e+05
110.2,2.478e+03,3.427e+04,6.032e+04,9.707e+04
111.7,2.196e+03,2.473e+04,4.769e+04,7.461e+04
113.2,1.767e+03,1.944e+04,4.241e+04,6.362e+04
114.7,1.328e+03,1.647e+04,4.181e+04,5.961e+04
116.2,9.494e+02,1.276e+04,3.720e+04,5.091e+04
117.7,7.728e+02,8.772e+03,2.770e+04,3.724e+04
119.2,5.962e+02,4.562e+03,2.134e+04,2.650e+04
120.7,3.812e+02,2.423e+03,1.845e+04,2.126e+04
