#time,accel_x,accel_y,accel_z
1740.176848,0.000000,-0.000000,9696.697840
1740.177173,-229.828649,-74.020594,9326.594869
1740.177498,0.000000,-0.000000,9252.574275
1740.177823,0.000000,-0.000000,9326.594869
1740.178147,0.000000,-0.000000,9178.553681
1740.178472,0.000000,-0.000000,8956.491898
1740.178797,0.000000,-222.061783,9178.553681
1740.179122,229.828649,-222.061783,9030.512492
1740.179447,229.828649,-74.020594,8808.450710
1740.179771,-229.828649,-0.000000,9104.533087
1740.180096,76.609550,-0.000000,9104.533087
1740.180421,0.000000,-0.000000,9178.553681
1740.180746,0.000000,-0.000000,9474.636058
1740.181071,76.609550,74.020594,9252.574275
1740.181395,459.657299,-222.061783,9326.594869
1740.181720,229.828649,-0.000000,9548.656652
1740.182045,153.219100,-222.061783,9400.615463
1740.182370,229.828649,-0.000000,9030.512492
1740.182694,229.828649,148.041188,9326.594869
1740.183019,153.219100,148.041188,9030.512492
1740.183344,766.095498,-0.000000,8808.450710
1740.183669,306.438199,-0.000000,9326.594869
1740.183994,0.000000,-74.020594,9178.553681
1740.184318,153.219100,-148.041188,9252.574275
1740.184643,0.000000,-222.061783,9178.553681
1740.184968,306.438199,-148.041188,9400.615463
1740.185293,383.047749,-0.000000,9104.533087
1740.185617,0.000000,-0.000000,9622.677246
1740.185942,229.828649,-148.041188,9622.677246
1740.186267,766.095498,-148.041188,9400.615463
1740.186592,536.266849,-0.000000,8660.409521
1740.186917,383.047749,-0.000000,9030.512492
1740.187241,766.095498,-74.020594,9326.594869
1740.187566,842.705048,74.020594,8956.491898
1740.187891,383.047749,148.041188,9178.553681
1740.188216,536.266849,-296.082377,8586.388927
1740.188540,536.266849,222.061783,9252.574275
1740.188865,842.705048,-0.000000,9178.553681
1740.189190,612.876398,-74.020594,8956.491898
1740.189515,612.876398,-0.000000,9326.594869
1740.189840,459.657299,-0.000000,9178.553681
1740.190164,459.657299,-148.041188,9326.594869
1740.190489,-229.828649,-0.000000,9622.677246
1740.190814,689.485948,-222.061783,9178.553681
1740.191139,689.485948,-296.082377,9400.615463
1740.191463,612.876398,-0.000000,8956.491898
1740.191788,766.095498,-0.000000,9178.553681
1740.192113,766.095498,-0.000000,9104.533087
1740.192438,766.095498,-0.000000,9400.615463
1740.192763,536.266849,-296.082377,9400.615463
1740.193087,842.705048,148.041188,9252.574275
1740.193412,766.095498,-74.020594,8956.491898
1740.193737,612.876398,-0.000000,9104.533087
1740.194062,459.657299,222.061783,9030.512492
1740.194386,0.000000,-0.000000,9252.574275
1740.194711,229.828649,-74.020594,9252.574275
1740.195036,-306.438199,-0.000000,9178.553681
1740.195361,153.219100,-148.041188,9622.677246
1740.195686,0.000000,-222.061783,9326.594869
1740.196010,229.828649,-0.000000,9474.636058
1740.196335,229.828649,-0.000000,9326.594869
1740.196660,0.000000,-0.000000,8882.471304
1740.196985,0.000000,-0.000000,9548.656652
1740.197309,306.438199,-74.020594,9252.574275
1740.197634,306.438199,-148.041188,9104.533087
1740.197959,0.000000,-0.000000,9178.553681
1740.198284,153.219100,-0.000000,9326.594869
1740.198609,76.609550,222.061783,9030.512492
1740.198933,229.828649,-0.000000,8956.491898
1740.199258,76.609550,296.082377,9104.533087
1740.199583,0.000000,-74.020594,9474.636058
1740.199908,612.876398,-0.000000,9252.574275
1740.200232,306.438199,-222.061783,9474.636058
1740.200557,0.000000,-296.082377,9400.615463
1740.200882,306.438199,-222.061783,9474.636058
1740.201207,689.485948,-148.041188,9474.636058
1740.201532,612.876398,-0.000000,9252.574275
1740.201856,689.485948,-0.000000,9548.656652
1740.202181,842.705048,222.061783,9252.574275
1740.202506,1455.581446,-0.000000,9104.533087
1740.202831,766.095498,296.082377,8956.491898
1740.203155,1072.533697,666.185348,8586.388927
1740.203480,1302.362347,370.102971,8882.471304
1740.203805,1225.752797,-0.000000,8956.491898
1740.204130,766.095498,-814.226536,9326.594869
1740.204455,995.924147,-0.000000,9474.636058
1740.204779,536.266849,-592.164754,9844.739029
1740.205104,459.657299,-74.020594,9400.615463
1740.205429,459.657299,-0.000000,9548.656652
1740.205754,536.266849,-148.041188,9474.636058
1740.206078,536.266849,-370.102971,9252.574275
1740.206403,842.705048,-518.144159,9474.636058
1740.206728,995.924147,-148.041188,9178.553681
1740.207053,995.924147,-0.000000,8956.491898
1740.207378,1378.971896,962.267725,9030.512492
1740.207702,1072.533697,444.123565,8808.450710
1740.208027,842.705048,296.082377,9030.512492
1740.208352,536.266849,-0.000000,8734.430116
1740.208677,919.314598,-0.000000,9178.553681
1740.209001,459.657299,-148.041188,9030.512492
1740.209326,612.876398,-0.000000,9474.636058
1740.209651,0.000000,-74.020594,8734.430116
1740.209976,-153.219100,-148.041188,9400.615463
1740.210301,-306.438199,222.061783,9548.656652
1740.210625,-306.438199,-0.000000,9252.574275
1740.210950,-306.438199,-0.000000,9178.553681
1740.211275,-459.657299,-0.000000,9178.553681
1740.211600,-229.828649,148.041188,8808.450710
1740.211924,0.000000,222.061783,9178.553681
1740.212249,-383.047749,-0.000000,9030.512492
1740.212574,-306.438199,148.041188,9178.553681
1740.212899,-229.828649,-0.000000,9178.553681
1740.213224,-229.828649,-0.000000,9030.512492
1740.213548,-229.828649,-0.000000,9326.594869
1740.213873,0.000000,222.061783,9326.594869
1740.214198,0.000000,-222.061783,9474.636058
1740.214523,-689.485948,-222.061783,9326.594869
1740.214847,-153.219100,-0.000000,9252.574275
1740.215172,153.219100,370.102971,9400.615463
1740.215497,153.219100,592.164754,9104.533087
1740.215822,536.266849,518.144159,9104.533087
1740.216147,0.000000,296.082377,9178.553681
1740.216471,0.000000,370.102971,9178.553681
1740.216796,-766.095498,740.205942,9400.615463
1740.217121,0.000000,222.061783,9104.533087
1740.217446,-383.047749,-74.020594,9474.636058
1740.217770,-536.266849,-444.123565,9548.656652
1740.218095,-536.266849,-518.144159,9548.656652
1740.218420,-612.876398,-740.205942,9548.656652
1740.218745,-766.095498,-148.041188,10362.883188
1740.219070,-1149.143247,-518.144159,9770.718434
1740.219394,-612.876398,-0.000000,9178.553681
1740.219719,-153.219100,370.102971,9178.553681
1740.220044,76.609550,814.226536,8808.450710
1740.220369,0.000000,518.144159,8882.471304
1740.220693,383.047749,518.144159,8734.430116
1740.221018,919.314598,666.185348,8586.388927
1740.221343,229.828649,370.102971,8660.409521
1740.221668,0.000000,148.041188,8882.471304
1740.221993,-383.047749,-0.000000,9104.533087
1740.222317,-536.266849,-148.041188,9178.553681
1740.222642,-919.314598,-0.000000,9326.594869
1740.222967,-995.924147,-296.082377,9474.636058
1740.223292,-2374.896044,-296.082377,9474.636058
1740.223616,-1608.800546,-222.061783,9622.677246
1740.223941,-1378.971896,-222.061783,9104.533087
1740.224266,-995.924147,-0.000000,9252.574275
1740.224591,-1149.143247,-0.000000,9326.594869
1740.224916,-995.924147,-222.061783,8882.471304
1740.225240,-1149.143247,148.041188,8808.450710
1740.225565,-919.314598,-0.000000,8808.450710
1740.225890,-919.314598,-0.000000,8808.450710
1740.226215,-612.876398,-0.000000,9030.512492
1740.226539,-536.266849,-0.000000,8808.450710
1740.226864,-612.876398,-74.020594,8956.491898
1740.227189,-766.095498,-0.000000,9104.533087
1740.227514,-612.876398,-296.082377,9400.615463
1740.227839,-842.705048,-592.164754,9548.656652
1740.228163,-766.095498,-148.041188,9696.697840
1740.228488,-842.705048,-518.144159,9252.574275
1740.228813,-459.657299,-74.020594,9400.615463
1740.229138,-306.438199,-0.000000,9400.615463
1740.229462,-306.438199,222.061783,9178.553681
1740.229787,-383.047749,592.164754,8956.491898
1740.230112,306.438199,740.205942,8882.471304
1740.230437,306.438199,-0.000000,8882.471304
1740.230762,-306.438199,-0.000000,9252.574275
1740.231086,-153.219100,-222.061783,9178.553681
1740.231411,-383.047749,-74.020594,9030.512492
1740.231736,-229.828649,-148.041188,9252.574275
1740.232061,-459.657299,-296.082377,9696.697840
1740.232385,-383.047749,-222.061783,9696.697840
1740.232710,-153.219100,-962.267725,9548.656652
1740.233035,229.828649,-296.082377,9474.636058
1740.233360,76.609550,-0.000000,9252.574275
1740.233685,153.219100,222.061783,9178.553681
1740.234009,383.047749,518.144159,9104.533087
1740.234334,459.657299,666.185348,8734.430116
1740.234659,536.266849,666.185348,8808.450710
1740.234984,536.266849,222.061783,8734.430116
1740.235309,0.000000,592.164754,8882.471304
1740.235633,76.609550,148.041188,9030.512492
1740.235958,229.828649,296.082377,9178.553681
1740.236283,0.000000,-0.000000,9178.553681
1740.236608,0.000000,-0.000000,9622.677246
1740.236932,-536.266849,-666.185348,9548.656652
1740.237257,0.000000,-518.144159,9252.574275
1740.237582,-766.095498,-444.123565,9252.574275
1740.237907,-536.266849,-0.000000,9622.677246
1740.238232,-536.266849,-0.000000,9104.533087
1740.238556,-459.657299,-0.000000,9104.533087
1740.238881,-383.047749,-0.000000,9104.533087
1740.239206,-383.047749,-0.000000,8882.471304
1740.239531,0.000000,-0.000000,8956.491898
1740.239855,-689.485948,-0.000000,9178.553681
1740.240180,-383.047749,296.082377,9252.574275
1740.240505,-536.266849,222.061783,9104.533087
1740.240830,-383.047749,222.061783,9178.553681
1740.241155,-459.657299,-0.000000,9030.512492
1740.241479,-306.438199,-296.082377,9178.553681
1740.241804,-689.485948,-74.020594,9548.656652
1740.242129,-919.314598,-0.000000,9326.594869
1740.242454,-536.266849,-148.041188,9252.574275
1740.242778,-842.705048,-148.041188,9696.697840
1740.243103,-842.705048,-0.000000,9252.574275
1740.243428,-766.095498,-0.000000,9178.553681
1740.243753,-919.314598,-296.082377,9252.574275
1740.244078,-689.485948,-74.020594,9326.594869
1740.244402,-766.095498,-0.000000,9474.636058
1740.244727,-536.266849,-296.082377,9326.594869
1740.245052,-919.314598,-370.102971,8956.491898
1740.245377,-536.266849,-222.061783,9178.553681
1740.245701,-536.266849,296.082377,9252.574275
1740.246026,-459.657299,518.144159,8956.491898
1740.246351,-229.828649,-0.000000,9326.594869
1740.246676,-153.219100,-0.000000,9696.697840
1740.247001,-229.828649,-296.082377,9400.615463
1740.247325,-383.047749,-592.164754,9400.615463
1740.247650,0.000000,-0.000000,9252.574275
