freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.573e+02,3.501e+01,2.873e+01,6.211e+02
1.4,3.457e+02,3.610e+01,3.045e+01,4.123e+02
2.9,3.606e+01,2.209e+01,1.942e+01,7.757e+01
4.3,2.040e+02,2.216e+01,1.885e+01,2.450e+02
5.8,9.947e+02,2.322e+01,1.895e+01,1.037e+03
7.2,1.867e+03,2.185e+01,1.851e+01,1.907e+03
8.6,2.707e+03,2.124e+01,1.884e+01,2.747e+03
10.1,3.772e+03,2.269e+01,2.007e+01,3.815e+03
11.5,5.140e+03,2.261e+01,2.004e+01,5.182e+03
13.0,6.873e+03,2.329e+01,1.792e+01,6.914e+03
14.4,7.148e+03,2.700e+01,2.197e+01,7.196e+03
15.9,7.307e+03,2.635e+01,2.254e+01,7.356e+03
17.3,9.442e+03,2.653e+01,2.316e+01,9.491e+03
18.7,1.207e+04,2.843e+01,2.157e+01,1.212e+04
20.2,1.478e+04,3.529e+01,2.304e+01,1.484e+04
21.6,1.751e+04,3.974e+01,2.289e+01,1.757e+04
23.1,2.090e+04,4.071e+01,2.367e+01,2.097e+04
24.5,2.500e+04,4.904e+01,2.723e+01,2.508e+04
25.9,3.013e+04,7.080e+01,3.262e+01,3.024e+04
27.4,3.586e+04,9.872e+01,4.046e+01,3.600e+04
28.8,4.201e+04,1.707e+02,4.621e+01,4.222e+04
30.3,4.940e+04,2.570e+02,5.368e+01,4.971e+04
31.7,5.906e+04,3.233e+02,6.884e+01,5.945e+04
33.2,7.270e+04,4.905e+02,7.505e+01,7.327e+04
34.6,8.849e+04,8.036e+02,9.154e+01,8.939e+04
36.0,1.109e+05,1.424e+03,1.186e+02,1.124e+05
37.5,1.462e+05,2.651e+03,2.144e+02,1.490e+05
38.9,1.812e+05,4.383e+03,7.590e+02,1.863e+05
40.4,2.436e+05,5.269e+03,2.474e+03,2.513e+05
41.8,3.499e+05,3.731e+03,5.364e+03,3.590e+05
43.2,5.534e+05,2.227e+03,1.009e+04,5.657e+05
44.7,8.896e+05,3.211e+03,2.091e+04,9.137e+05
46.1,1.190e+06,5.673e+03,3.649e+04,1.232e+06
47.6,1.252e+06,7.480e+03,4.478e+04,1.304e+06
49.0,1.149e+06,8.454e+03,4.502e+04,1.202e+06
50.4,1.045e+06,9.696e+03,4.242e+04,1.097e+06
51.9,9.712e+05,1.054e+04,3.613e+04,1.018e+06
53.3,9.740e+05,1.055e+04,2.922e+04,1.014e+06
54.8,9.446e+05,9.370e+03,2.447e+04,9.784e+05
56.2,8.375e+05,8.398e+03,2.481e+04,8.707e+05
57.7,7.943e+05,8.569e+03,3.086e+04,8.337e+05
59.1,7.912e+05,9.765e+03,4.101e+04,8.420e+05
60.5,7.616e+05,1.078e+04,4.589e+04,8.183e+05
62.0,7.085e+05,1.129e+04,4.405e+04,7.639e+05
63.4,6.359e+05,1.141e+04,3.943e+04,6.868e+05
64.9,5.629e+05,1.105e+04,3.388e+04,6.078e+05
66.3,4.881e+05,1.050e+04,2.877e+04,5.274e+05
67.7,4.282e+05,1.045e+04,2.574e+04,4.644e+05
69.2,3.782e+05,1.069e+04,2.406e+04,4.130e+05
70.6,3.327e+05,1.103e+04,2.268e+04,3.664e+05
72.1,3.045e+05,1.193e+04,2.247e+04,3.389e+05
73.5,2.906e+05,1.342e+04,2.298e+04,3.270e+05
75.0,2.720e+05,1.506e+04,2.171e+04,3.088e+05
76.4,2.590e+05,1.691e+04,2.117e+04,2.971e+05
77.8,2.511e+05,1.943e+04,2.259e+04,2.931e+05
79.3,2.433e+05,2.184e+04,2.456e+04,2.897e+05
80.7,2.337e+05,2.238e+04,2.440e+04,2.805e+05
82.2,2.160e+05,2.200e+04,2.167e+04,2.596e+05
83.6,2.025e+05,2.275e+04,2.004e+04,2.453e+05
85.0,1.968e+05,2.545e+04,1.993e+04,2.422e+05
86.5,1.825e+05,2.706e+04,1.918e+04,2.288e+05
87.9,1.705e+05,2.882e+04,1.889e+04,2.182e+05
89.4,1.685e+05,3.236e+04,1.956e+04,2.204e+05
90.8,1.695e+05,3.683e+04,2.079e+04,2.271e+05
92.3,1.722e+05,4.228e+04,2.264e+04,2.372e+05
93.7,1.752e+05,4.893e+04,2.465e+04,2.488e+05
95.1,1.782e+05,5.547e+04,2.639e+04,2.601e+05
96.6,1.790e+05,5.958e+04,2.875e+04,2.674e+05
98.0,1.736e+05,5.884e+04,3.023e+04,2.627e+05
99.5,1.731e+05,5.765e+04,3.226e+04,2.631e+05
100.9,1.766e+05,5.631e+04,3.295e+04,2.659e+05
102.3,1.778e+05,5.470e+04,2.949e+04,2.619e+05
103.8,1.785e+05,5.555e+04,2.369e+04,2.578e+05
105.2,1.810e+05,6.039e+04,1.880e+04,2.602e+05
106.7,1.855e+05,7.040e+04,1.629e+04,2.722e+05
108.1,1.894e+05,8.408e+04,1.553e+04,2.890e+05
109.5,1.996e+05,1.009e+05,1.702e+04,3.175e+05
111.0,2.068e+05,1.188e+05,1.980e+04,3.454e+05
112.4,2.039e+05,1.249e+05,2.208e+04,3.509e+05
113.9,2.126e+05,1.368e+05,2.556e+04,3.750e+05
115.3,2.347e+05,1.623e+05,3.134e+04,4.284e+05
116.8,2.614e+05,1.947e+05,3.959e+04,4.957e+05
118.2,2.959e+05,2.398e+05,5.186e+04,5.875e+05
119.6,3.485e+05,3.110e+05,7.179e+04,7.313e+05
121.1,3.987e+05,3.863e+05,9.523e+04,8.803e+05
122.5,4.254e+05,4.438e+05,1.163e+05,9.855e+05
124.0,3.988e+05,4.368e+05,1.202e+05,9.558e+05
125.4,3.572e+05,4.013e+05,1.133e+05,8.719e+05
126.8,3.218e+05,3.686e+05,1.059e+05,7.963e+05
128.3,2.616e+05,2.953e+05,8.571e+04,6.426e+05
129.7,2.575e+05,2.862e+05,8.492e+04,6.286e+05
131.2,2.699e+05,3.182e+05,9.823e+04,6.864e+05
132.6,1.781e+05,2.180e+05,6.927e+04,4.654e+05
134.1,3.673e+04,4.997e+04,1.530e+04,1.020e+05
135.5,6.861e+03,1.669e+04,3.981e+03,2.753e+04
136.9,5.264e+03,1.536e+04,3.650e+03,2.427e+04
138.4,3.937e+03,1.213e+04,2.927e+03,1.900e+04
139.8,3.129e+03,8.711e+03,2.174e+03,1.401e+04
141.3,2.878e+03,5.915e+03,1.598e+03,1.039e+04
142.7,5.855e+03,8.074e+03,2.032e+03,1.596e+04
144.1,4.904e+03,5.429e+03,1.706e+03,1.204e+04
145.6,2.908e+03,1.575e+03,1.166e+03,5.650e+03
147.0,3.097e+03,1.059e+03,1.350e+03,5.505e+03
148.5,3.208e+03,1.096e+03,1.563e+03,5.867e+03
149.9,3.119e+03,1.358e+03,1.715e+03,6.192e+03
151.3,2.815e+03,1.605e+03,1.757e+03,6.177e+03
152.8,2.414e+03,1.646e+03,1.692e+03,5.752e+03
154.2,2.377e+03,1.800e+03,1.809e+03,5.986e+03
155.7,2.590e+03,1.829e+03,1.999e+03,6.418e+03
157.1,2.727e+03,1.503e+03,2.034e+03,6.264e+03
158.6,2.846e+03,1.386e+03,2.076e+03,6.308e+03
160.0,2.931e+03,1.520e+03,2.132e+03,6.582e+03
161.4,2.806e+03,1.828e+03,2.143e+03,6.777e+03
162.9,2.318e+03,2.072e+03,1.974e+03,6.364e+03
164.3,1.672e+03,2.180e+03,1.735e+03,5.587e+03
165.8,1.336e+03,2.344e+03,1.654e+03,5.334e+03
167.2,1.124e+03,2.221e+03,1.474e+03,4.819e+03
168.6,1.003e+03,1.886e+03,1.232e+03,4.121e+03
170.1,8.941e+02,1.535e+03,1.011e+03,3.440e+03
171.5,8.292e+02,1.325e+03,9.011e+02,3.055e+03
173.0,8.476e+02,1.191e+03,8.552e+02,2.894e+03
174.4,8.297e+02,1.039e+03,8.069e+02,2.675e+03
175.9,8.781e+02,1.104e+03,9.212e+02,2.904e+03
177.3,9.763e+02,1.343e+03,1.149e+03,3.469e+03
178.7,1.043e+03,1.908e+03,1.515e+03,4.466e+03
180.2,1.072e+03,2.209e+03,1.780e+03,5.061e+03
181.6,1.073e+03,2.283e+03,1.940e+03,5.295e+03
183.1,1.056e+03,2.441e+03,2.136e+03,5.633e+03
184.5,1.054e+03,2.457e+03,2.228e+03,5.738e+03
185.9,1.067e+03,2.397e+03,2.221e+03,5.684e+03
187.4,1.084e+03,2.380e+03,2.307e+03,5.771e+03
188.8,1.106e+03,2.370e+03,2.367e+03,5.842e+03
190.3,1.140e+03,2.465e+03,2.478e+03,6.082e+03
191.7,1.170e+03,2.568e+03,2.671e+03,6.409e+03
193.2,1.280e+03,3.083e+03,3.112e+03,7.475e+03
194.6,1.484e+03,3.943e+03,3.728e+03,9.155e+03
196.0,1.573e+03,4.060e+03,3.851e+03,9.484e+03
197.5,1.502e+03,4.017e+03,3.776e+03,9.295e+03
198.9,1.451e+03,4.102e+03,3.850e+03,9.403e+03
