freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.749e+02,1.293e+01,1.458e+01,1.002e+03
1.5,5.824e+02,2.564e+01,2.329e+01,6.313e+02
3.0,4.403e+01,2.491e+01,1.961e+01,8.855e+01
4.5,3.044e+02,2.533e+01,1.878e+01,3.485e+02
6.0,1.145e+03,2.250e+01,1.976e+01,1.188e+03
7.6,1.934e+03,2.282e+01,2.082e+01,1.978e+03
9.1,2.834e+03,2.125e+01,2.114e+01,2.877e+03
10.6,3.952e+03,2.383e+01,2.031e+01,3.996e+03
12.1,5.442e+03,2.542e+01,2.218e+01,5.490e+03
13.6,7.402e+03,2.437e+01,2.285e+01,7.449e+03
15.1,8.070e+03,2.997e+01,2.334e+01,8.123e+03
16.6,7.650e+03,2.643e+01,2.285e+01,7.700e+03
18.1,9.578e+03,2.240e+01,2.015e+01,9.621e+03
19.6,1.251e+04,3.031e+01,1.964e+01,1.256e+04
21.2,1.537e+04,2.899e+01,2.258e+01,1.542e+04
22.7,1.838e+04,3.122e+01,2.095e+01,1.844e+04
24.2,2.096e+04,2.891e+01,2.066e+01,2.101e+04
25.7,2.451e+04,2.553e+01,2.306e+01,2.456e+04
27.2,2.928e+04,2.825e+01,2.486e+01,2.933e+04
28.7,3.550e+04,2.779e+01,3.052e+01,3.556e+04
30.2,4.241e+04,2.680e+01,3.556e+01,4.247e+04
31.7,4.931e+04,2.681e+01,3.616e+01,4.937e+04
33.2,5.637e+04,2.670e+01,4.085e+01,5.644e+04
34.8,6.838e+04,2.972e+01,5.718e+01,6.847e+04
36.3,8.235e+04,3.231e+01,7.166e+01,8.245e+04
37.8,9.649e+04,3.560e+01,1.020e+02,9.662e+04
39.3,1.162e+05,3.969e+01,1.382e+02,1.164e+05
40.8,1.454e+05,5.365e+01,2.159e+02,1.456e+05
42.3,1.853e+05,1.479e+02,5.076e+02,1.860e+05
43.8,2.419e+05,6.765e+02,1.127e+03,2.437e+05
45.3,3.218e+05,2.752e+03,1.722e+03,3.263e+05
46.8,4.430e+05,8.132e+03,1.956e+03,4.531e+05
48.4,6.448e+05,1.581e+04,1.342e+03,6.619e+05
49.9,9.347e+05,2.129e+04,6.011e+02,9.566e+05
51.4,1.007e+06,2.122e+04,4.304e+02,1.029e+06
52.9,1.014e+06,2.110e+04,7.682e+02,1.036e+06
54.4,1.203e+06,2.023e+04,2.078e+03,1.225e+06
55.9,1.656e+06,2.116e+04,5.974e+03,1.683e+06
57.4,2.625e+06,2.744e+04,1.734e+04,2.670e+06
58.9,3.944e+06,3.134e+04,3.403e+04,4.010e+06
60.4,4.865e+06,2.533e+04,4.094e+04,4.931e+06
62.0,4.845e+06,2.029e+04,3.785e+04,4.903e+06
63.5,4.082e+06,2.148e+04,2.950e+04,4.133e+06
65.0,3.077e+06,2.074e+04,2.106e+04,3.119e+06
66.5,2.335e+06,1.622e+04,1.613e+04,2.367e+06
68.0,1.808e+06,1.231e+04,1.317e+04,1.834e+06
69.5,1.413e+06,1.040e+04,1.215e+04,1.435e+06
71.0,1.104e+06,9.090e+03,1.169e+04,1.125e+06
72.5,9.035e+05,8.870e+03,1.151e+04,9.239e+05
74.0,7.749e+05,9.296e+03,1.148e+04,7.957e+05
75.6,6.726e+05,9.604e+03,1.103e+04,6.933e+05
77.1,5.864e+05,9.266e+03,1.007e+04,6.058e+05
78.6,5.040e+05,8.445e+03,8.919e+03,5.213e+05
80.1,4.454e+05,7.744e+03,8.275e+03,4.614e+05
81.6,4.059e+05,6.919e+03,8.046e+03,4.209e+05
83.1,3.715e+05,6.462e+03,8.136e+03,3.861e+05
84.6,3.398e+05,6.267e+03,7.908e+03,3.539e+05
86.1,3.081e+05,5.728e+03,7.397e+03,3.212e+05
87.6,2.741e+05,5.441e+03,6.922e+03,2.865e+05
89.2,2.501e+05,5.786e+03,6.767e+03,2.626e+05
90.7,2.235e+05,6.209e+03,6.513e+03,2.363e+05
92.2,2.015e+05,6.273e+03,5.758e+03,2.135e+05
93.7,2.158e+05,6.208e+03,5.569e+03,2.275e+05
95.2,2.296e+05,6.559e+03,6.034e+03,2.422e+05
96.7,2.166e+05,6.709e+03,6.210e+03,2.296e+05
98.2,1.894e+05,6.544e+03,6.096e+03,2.021e+05
99.7,1.699e+05,6.623e+03,6.111e+03,1.826e+05
101.2,1.591e+05,6.868e+03,6.160e+03,1.722e+05
102.8,1.558e+05,7.094e+03,6.283e+03,1.691e+05
104.3,1.513e+05,7.174e+03,6.577e+03,1.650e+05
105.8,1.278e+05,6.939e+03,6.088e+03,1.408e+05
107.3,1.393e+05,7.539e+03,6.593e+03,1.535e+05
108.8,1.338e+05,6.732e+03,6.549e+03,1.471e+05
110.3,1.304e+05,8.092e+03,7.776e+03,1.463e+05
111.8,1.238e+05,8.691e+03,7.642e+03,1.401e+05
113.3,1.139e+05,9.657e+03,7.879e+03,1.314e+05
114.8,1.127e+05,1.051e+04,7.902e+03,1.311e+05
116.4,1.153e+05,1.060e+04,8.069e+03,1.340e+05
117.9,1.185e+05,1.105e+04,8.457e+03,1.380e+05
119.4,1.187e+05,1.190e+04,8.385e+03,1.390e+05
120.9,1.211e+05,1.349e+04,8.809e+03,1.434e+05
122.4,1.237e+05,1.401e+04,9.883e+03,1.476e+05
123.9,1.221e+05,1.294e+04,1.172e+04,1.467e+05
125.4,1.162e+05,1.022e+04,1.328e+04,1.397e+05
126.9,1.083e+05,6.496e+03,1.467e+04,1.295e+05
128.4,1.043e+05,3.349e+03,1.657e+04,1.243e+05
130.0,1.136e+05,4.526e+03,2.036e+04,1.384e+05
131.5,1.382e+05,1.223e+04,2.514e+04,1.755e+05
133.0,9.488e+04,1.074e+04,1.730e+04,1.229e+05
134.5,1.801e+04,2.678e+03,3.335e+03,2.402e+04
136.0,1.433e+04,2.852e+03,2.567e+03,1.975e+04
