freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.675e+01,7.011e+02,3.675e+02,1.085e+03
1.5,3.693e+01,4.118e+02,2.592e+02,7.079e+02
3.0,3.734e+01,3.213e+01,4.876e+01,1.182e+02
4.5,8.839e+01,4.320e+02,5.015e+01,5.705e+02
6.0,1.875e+02,1.203e+03,5.744e+01,1.448e+03
7.5,6.731e+01,1.241e+03,6.177e+01,1.370e+03
9.0,3.766e+01,1.958e+03,5.766e+01,2.053e+03
10.5,3.583e+01,2.659e+03,4.933e+01,2.745e+03
12.0,3.588e+01,3.867e+03,4.648e+01,3.949e+03
13.5,3.753e+01,5.632e+03,5.381e+01,5.723e+03
15.0,3.963e+01,8.344e+03,6.900e+01,8.453e+03
16.5,4.103e+01,1.191e+04,1.282e+02,1.208e+04
18.0,4.705e+01,1.507e+04,2.110e+02,1.533e+04
19.5,9.248e+01,1.718e+04,5.956e+02,1.787e+04
21.0,1.953e+02,1.525e+04,1.299e+03,1.674e+04
22.5,2.683e+02,1.222e+04,7.168e+02,1.321e+04
24.0,2.263e+02,1.461e+04,1.283e+02,1.496e+04
25.5,1.885e+02,2.031e+04,7.967e+01,2.058e+04
27.0,2.045e+02,2.735e+04,1.126e+02,2.766e+04
28.5,2.340e+02,3.658e+04,1.671e+02,3.698e+04
30.0,2.543e+02,4.891e+04,2.562e+02,4.942e+04
31.5,3.372e+02,6.519e+04,4.449e+02,6.597e+04
33.0,5.219e+02,8.992e+04,8.329e+02,9.128e+04
34.5,8.487e+02,1.270e+05,1.381e+03,1.293e+05
36.0,9.981e+02,1.787e+05,3.469e+03,1.832e+05
37.5,4.797e+02,2.696e+05,9.712e+03,2.798e+05
39.0,6.617e+02,4.473e+05,2.483e+04,4.727e+05
40.5,2.809e+03,7.808e+05,8.927e+04,8.729e+05
42.0,6.100e+03,1.685e+06,2.914e+05,1.983e+06
43.5,9.888e+03,2.736e+06,6.246e+05,3.371e+06
45.0,7.717e+03,2.592e+06,7.535e+05,3.353e+06
46.5,4.192e+03,1.958e+06,7.187e+05,2.680e+06
48.0,2.863e+03,1.277e+06,6.314e+05,1.912e+06
49.5,1.909e+03,7.667e+05,5.459e+05,1.315e+06
51.0,1.091e+03,5.277e+05,6.316e+05,1.160e+06
52.5,9.241e+02,4.184e+05,1.048e+06,1.467e+06
54.0,3.495e+03,3.257e+05,1.595e+06,1.925e+06
55.6,7.699e+03,2.075e+05,1.493e+06,1.708e+06
57.1,8.134e+03,1.325e+05,1.073e+06,1.213e+06
58.6,5.852e+03,1.360e+05,6.098e+05,7.517e+05
60.1,4.518e+03,1.676e+05,3.168e+05,4.889e+05
61.6,3.780e+03,1.898e+05,1.694e+05,3.629e+05
63.1,1.566e+04,1.766e+05,1.354e+05,3.276e+05
64.6,5.846e+04,1.150e+05,1.676e+05,3.410e+05
