freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.155e+02,2.215e+01,1.172e+01,7.494e+02
1.5,4.220e+02,3.113e+01,2.151e+01,4.747e+02
2.9,4.529e+01,2.290e+01,2.331e+01,9.149e+01
4.4,2.222e+02,2.262e+01,2.263e+01,2.674e+02
5.8,9.965e+02,2.248e+01,2.083e+01,1.040e+03
7.3,1.807e+03,2.207e+01,2.210e+01,1.851e+03
8.7,2.674e+03,2.176e+01,2.207e+01,2.718e+03
10.2,3.772e+03,2.347e+01,2.271e+01,3.818e+03
11.6,5.232e+03,2.448e+01,2.108e+01,5.278e+03
13.1,7.127e+03,2.461e+01,2.043e+01,7.172e+03
14.5,8.245e+03,2.934e+01,2.111e+01,8.296e+03
16.0,7.555e+03,2.750e+01,2.186e+01,7.605e+03
17.4,8.833e+03,2.719e+01,2.147e+01,8.882e+03
18.9,1.159e+04,3.162e+01,2.069e+01,1.164e+04
20.4,1.336e+04,4.160e+01,2.097e+01,1.342e+04
21.8,1.562e+04,5.208e+01,2.083e+01,1.569e+04
23.3,1.871e+04,5.845e+01,2.172e+01,1.879e+04
24.7,2.240e+04,7.323e+01,2.247e+01,2.249e+04
26.2,2.678e+04,8.562e+01,2.513e+01,2.689e+04
27.6,3.191e+04,8.670e+01,2.661e+01,3.203e+04
29.1,3.692e+04,1.327e+02,2.904e+01,3.708e+04
30.5,4.408e+04,2.008e+02,2.994e+01,4.431e+04
32.0,5.052e+04,2.739e+02,3.071e+01,5.083e+04
33.4,6.050e+04,3.674e+02,2.779e+01,6.090e+04
34.9,7.400e+04,5.045e+02,3.034e+01,7.453e+04
36.3,8.940e+04,8.065e+02,3.481e+01,9.024e+04
37.8,1.037e+05,1.634e+03,4.314e+01,1.054e+05
39.3,1.239e+05,3.255e+03,1.118e+02,1.273e+05
40.7,1.557e+05,5.505e+03,3.675e+02,1.615e+05
42.2,2.000e+05,7.919e+03,1.129e+03,2.091e+05
43.6,2.637e+05,9.995e+03,3.068e+03,2.767e+05
45.1,3.604e+05,9.568e+03,6.549e+03,3.765e+05
46.5,5.205e+05,5.380e+03,9.033e+03,5.349e+05
48.0,8.026e+05,2.334e+03,9.711e+03,8.147e+05
49.4,1.342e+06,4.414e+03,1.157e+04,1.358e+06
50.9,2.301e+06,1.485e+04,1.493e+04,2.331e+06
52.3,3.354e+06,3.287e+04,1.750e+04,3.405e+06
53.8,3.473e+06,4.278e+04,1.762e+04,3.533e+06
55.2,2.457e+06,3.454e+04,1.455e+04,2.506e+06
56.7,1.768e+06,2.465e+04,1.323e+04,1.806e+06
58.2,1.821e+06,2.234e+04,1.660e+04,1.860e+06
59.6,1.962e+06,2.248e+04,1.789e+04,2.003e+06
61.1,1.925e+06,2.289e+04,1.729e+04,1.965e+06
62.5,1.796e+06,2.234e+04,1.702e+04,1.835e+06
64.0,1.553e+06,2.248e+04,1.802e+04,1.593e+06
65.4,1.307e+06,2.412e+04,1.950e+04,1.350e+06
66.9,1.112e+06,2.510e+04,1.905e+04,1.157e+06
68.3,9.342e+05,2.399e+04,1.692e+04,9.751e+05
69.8,7.805e+05,2.226e+04,1.452e+04,8.173e+05
71.2,6.377e+05,2.075e+04,1.270e+04,6.712e+05
72.7,5.448e+05,2.057e+04,1.193e+04,5.773e+05
74.1,4.815e+05,2.102e+04,1.183e+04,5.143e+05
75.6,4.239e+05,2.133e+04,1.179e+04,4.570e+05
77.1,3.666e+05,2.064e+04,1.111e+04,3.983e+05
78.5,3.145e+05,1.920e+04,1.007e+04,3.437e+05
80.0,2.814e+05,1.788e+04,9.087e+03,3.084e+05
81.4,2.531e+05,1.698e+04,8.437e+03,2.785e+05
82.9,2.243e+05,1.592e+04,7.718e+03,2.480e+05
84.3,2.149e+05,1.457e+04,6.850e+03,2.363e+05
85.8,2.191e+05,1.429e+04,6.711e+03,2.401e+05
87.2,1.958e+05,1.425e+04,6.589e+03,2.166e+05
88.7,1.817e+05,1.497e+04,6.808e+03,2.035e+05
90.1,1.773e+05,1.616e+04,7.221e+03,2.007e+05
91.6,1.707e+05,1.763e+04,7.592e+03,1.960e+05
93.0,1.396e+05,1.603e+04,6.777e+03,1.624e+05
94.5,1.338e+05,1.735e+04,7.193e+03,1.583e+05
96.0,1.353e+05,1.913e+04,7.641e+03,1.620e+05
97.4,1.275e+05,1.830e+04,6.824e+03,1.526e+05
98.9,1.191e+05,1.743e+04,5.928e+03,1.424e+05
100.3,1.160e+05,1.789e+04,5.665e+03,1.396e+05
101.8,1.140e+05,1.873e+04,5.974e+03,1.388e+05
103.2,1.145e+05,2.114e+04,7.856e+03,1.435e+05
104.7,1.170e+05,2.519e+04,1.074e+04,1.529e+05
106.1,1.196e+05,2.813e+04,1.180e+04,1.595e+05
107.6,1.212e+05,2.963e+04,1.080e+04,1.616e+05
109.0,1.239e+05,3.139e+04,8.866e+03,1.642e+05
110.5,1.258e+05,3.357e+04,6.846e+03,1.663e+05
111.9,1.203e+05,3.368e+04,4.943e+03,1.589e+05
113.4,1.130e+05,3.453e+04,3.429e+03,1.510e+05
114.9,1.121e+05,3.736e+04,4.069e+03,1.536e+05
116.3,1.124e+05,3.473e+04,5.710e+03,1.529e+05
117.8,1.134e+05,3.287e+04,7.009e+03,1.532e+05
119.2,1.141e+05,3.182e+04,8.050e+03,1.540e+05
120.7,1.234e+05,3.085e+04,1.085e+04,1.650e+05
122.1,1.406e+05,2.906e+04,1.579e+04,1.854e+05
123.6,1.553e+05,2.520e+04,2.115e+04,2.016e+05
125.0,1.796e+05,2.671e+04,2.817e+04,2.345e+05
126.5,2.024e+05,3.420e+04,3.319e+04,2.698e+05
127.9,2.101e+05,3.915e+04,3.649e+04,2.857e+05
129.4,2.374e+05,4.736e+04,4.588e+04,3.306e+05
130.8,2.323e+05,4.953e+04,4.775e+04,3.296e+05
132.3,1.890e+05,4.235e+04,4.170e+04,2.730e+05
133.8,5.744e+04,1.409e+04,1.350e+04,8.503e+04
135.2,1.419e+04,4.887e+03,4.084e+03,2.316e+04
136.7,1.653e+04,5.554e+03,5.379e+03,2.746e+04
138.1,1.787e+04,6.061e+03,6.091e+03,3.002e+04
139.6,1.826e+04,6.356e+03,6.441e+03,3.106e+04
