freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.908e+00,7.150e+02,4.061e+02,1.129e+03
1.5,2.781e+01,4.087e+02,2.387e+02,6.753e+02
2.9,2.918e+01,2.020e+01,1.814e+01,6.753e+01
4.4,2.721e+01,2.415e+02,1.878e+01,2.875e+02
5.9,2.764e+01,1.129e+03,1.904e+01,1.176e+03
7.4,2.532e+01,2.087e+03,1.958e+01,2.132e+03
8.8,2.587e+01,3.313e+03,1.956e+01,3.359e+03
10.3,2.752e+01,5.143e+03,1.986e+01,5.190e+03
11.8,3.425e+01,7.063e+03,2.010e+01,7.117e+03
13.2,4.416e+01,6.152e+03,2.360e+01,6.220e+03
14.7,3.751e+01,6.392e+03,2.241e+01,6.451e+03
16.2,3.426e+01,9.497e+03,2.343e+01,9.554e+03
17.6,3.536e+01,1.291e+04,2.337e+01,1.297e+04
19.1,3.584e+01,1.457e+04,2.354e+01,1.463e+04
20.6,3.286e+01,1.584e+04,2.688e+01,1.590e+04
22.1,3.239e+01,2.097e+04,4.972e+01,2.106e+04
23.5,3.322e+01,2.906e+04,9.513e+01,2.919e+04
25.0,3.304e+01,3.921e+04,1.758e+02,3.942e+04
26.5,3.792e+01,5.301e+04,3.444e+02,5.339e+04
27.9,4.512e+01,7.462e+04,7.448e+02,7.541e+04
29.4,5.390e+01,1.091e+05,1.695e+03,1.108e+05
30.9,6.602e+01,1.668e+05,4.050e+03,1.709e+05
32.3,8.946e+01,2.795e+05,1.089e+04,2.905e+05
33.8,2.178e+02,5.379e+05,3.562e+04,5.737e+05
35.3,6.476e+02,1.176e+06,1.358e+05,1.312e+06
36.8,1.312e+03,2.061e+06,3.580e+05,2.420e+06
38.2,2.107e+03,2.174e+06,5.155e+05,2.692e+06
39.7,3.376e+03,1.656e+06,5.303e+05,2.189e+06
41.2,4.360e+03,1.145e+06,5.164e+05,1.665e+06
42.6,4.800e+03,7.940e+05,5.018e+05,1.301e+06
44.1,4.805e+03,6.275e+05,4.720e+05,1.104e+06
45.6,4.760e+03,5.578e+05,4.814e+05,1.044e+06
47.0,6.964e+03,5.667e+05,6.931e+05,1.267e+06
48.5,1.064e+04,5.448e+05,1.127e+06,1.682e+06
50.0,1.001e+04,3.987e+05,1.397e+06,1.806e+06
51.5,7.528e+03,2.186e+05,1.241e+06,1.467e+06
52.9,4.648e+03,1.070e+05,9.330e+05,1.045e+06
54.4,1.702e+03,5.674e+04,6.621e+05,7.205e+05
55.9,6.324e+02,3.597e+04,4.739e+05,5.105e+05
57.3,5.395e+02,2.683e+04,3.589e+05,3.863e+05
58.8,6.457e+02,2.315e+04,2.774e+05,3.012e+05
60.3,8.905e+02,2.398e+04,2.131e+05,2.380e+05
61.7,1.357e+03,2.722e+04,1.696e+05,1.982e+05
63.2,1.913e+03,3.127e+04,1.386e+05,1.717e+05
64.7,2.410e+03,3.481e+04,1.140e+05,1.512e+05
66.2,3.117e+03,3.848e+04,9.683e+04,1.384e+05
67.6,4.071e+03,4.183e+04,8.520e+04,1.311e+05
69.1,4.266e+03,4.400e+04,7.702e+04,1.253e+05
70.6,3.513e+03,4.335e+04,7.012e+04,1.170e+05
72.0,2.773e+03,4.138e+04,6.400e+04,1.082e+05
73.5,2.070e+03,3.905e+04,5.789e+04,9.901e+04
75.0,1.557e+03,3.606e+04,5.169e+04,8.930e+04
76.4,1.001e+03,3.282e+04,4.603e+04,7.986e+04
77.9,5.931e+02,2.938e+04,4.148e+04,7.146e+04
79.4,4.654e+02,2.702e+04,3.845e+04,6.593e+04
80.9,4.747e+02,2.523e+04,3.630e+04,6.201e+04
82.3,4.746e+02,2.372e+04,3.484e+04,5.903e+04
83.8,5.057e+02,2.323e+04,3.392e+04,5.765e+04
85.3,4.539e+02,2.385e+04,3.334e+04,5.765e+04
86.7,3.704e+02,2.448e+04,3.298e+04,5.784e+04
88.2,4.099e+02,2.531e+04,3.289e+04,5.861e+04
89.7,5.543e+02,2.704e+04,3.395e+04,6.154e+04
91.1,6.281e+02,2.936e+04,3.678e+04,6.677e+04
92.6,7.137e+02,3.218e+04,4.195e+04,7.484e+04
94.1,7.790e+02,3.623e+04,4.886e+04,8.586e+04
95.6,7.005e+02,4.234e+04,5.922e+04,1.023e+05
97.0,5.707e+02,4.993e+04,7.132e+04,1.218e+05
98.5,4.151e+02,5.302e+04,8.044e+04,1.339e+05
100.0,3.030e+02,5.591e+04,9.227e+04,1.485e+05
101.4,3.119e+02,6.290e+04,1.030e+05,1.662e+05
102.9,3.676e+02,7.174e+04,1.059e+05,1.780e+05
104.4,5.233e+02,7.433e+04,1.020e+05,1.768e+05
105.8,1.002e+03,6.668e+04,8.900e+04,1.567e+05
107.3,1.507e+03,5.555e+04,7.157e+04,1.286e+05
108.8,1.541e+03,4.474e+04,5.424e+04,1.005e+05
110.3,1.555e+03,3.417e+04,4.057e+04,7.629e+04
111.7,1.302e+03,2.471e+04,2.864e+04,5.465e+04
113.2,1.083e+03,1.758e+04,1.879e+04,3.746e+04
114.7,1.079e+03,1.318e+04,1.309e+04,2.734e+04
116.1,1.252e+03,1.017e+04,9.439e+03,2.086e+04
117.6,1.490e+03,7.934e+03,6.842e+03,1.627e+04
119.1,1.580e+03,6.001e+03,4.886e+03,1.247e+04
120.5,1.463e+03,5.469e+03,3.604e+03,1.054e+04
122.0,1.204e+03,5.433e+03,2.953e+03,9.590e+03
123.5,8.486e+02,3.303e+03,2.455e+03,6.607e+03
125.0,7.644e+02,2.204e+03,1.765e+03,4.734e+03
126.4,8.040e+02,2.255e+03,1.106e+03,4.165e+03
127.9,1.340e+03,4.001e+03,6.546e+02,5.996e+03
129.4,2.316e+03,7.522e+03,4.914e+02,1.033e+04
130.8,2.713e+03,8.558e+03,6.293e+02,1.190e+04
132.3,2.155e+03,6.848e+03,6.503e+02,9.653e+03
133.8,5.527e+02,2.021e+03,3.378e+02,2.912e+03
135.2,9.902e+01,6.623e+02,1.909e+02,9.522e+02
136.7,1.387e+02,8.446e+02,1.281e+02,1.111e+03
138.2,2.021e+02,9.474e+02,9.123e+01,1.241e+03
139.7,2.493e+02,1.001e+03,8.757e+01,1.337e+03
141.1,3.611e+02,1.446e+03,8.324e+01,1.890e+03
142.6,4.587e+02,1.877e+03,9.751e+01,2.433e+03
144.1,5.828e+02,2.436e+03,1.595e+02,3.178e+03
145.5,7.256e+02,2.954e+03,2.399e+02,3.919e+03
147.0,8.912e+02,3.379e+03,3.307e+02,4.600e+03
148.5,1.125e+03,3.624e+03,4.119e+02,5.161e+03
149.9,1.181e+03,3.047e+03,4.021e+02,4.630e+03
151.4,8.856e+02,1.938e+03,2.866e+02,3.111e+03
152.9,5.078e+02,1.078e+03,1.943e+02,1.780e+03
154.4,3.403e+02,6.556e+02,1.325e+02,1.128e+03
155.8,2.598e+02,4.891e+02,1.009e+02,8.498e+02
157.3,2.448e+02,4.604e+02,9.640e+01,8.016e+02
158.8,2.477e+02,5.067e+02,1.021e+02,8.565e+02
160.2,2.582e+02,5.723e+02,1.218e+02,9.523e+02
161.7,2.701e+02,6.921e+02,1.535e+02,1.116e+03
163.2,2.529e+02,7.815e+02,1.768e+02,1.211e+03
164.6,2.327e+02,8.558e+02,2.393e+02,1.328e+03
166.1,2.349e+02,9.918e+02,3.051e+02,1.532e+03
167.6,2.234e+02,1.057e+03,3.472e+02,1.627e+03
169.1,2.219e+02,1.069e+03,3.906e+02,1.681e+03
170.5,2.241e+02,1.084e+03,4.195e+02,1.728e+03
172.0,2.086e+02,1.061e+03,4.057e+02,1.675e+03
173.5,1.917e+02,9.455e+02,3.662e+02,1.503e+03
174.9,1.821e+02,8.426e+02,3.349e+02,1.360e+03
176.4,1.662e+02,7.677e+02,3.058e+02,1.240e+03
177.9,1.755e+02,8.561e+02,3.499e+02,1.381e+03
179.3,2.018e+02,9.685e+02,4.118e+02,1.582e+03
180.8,1.925e+02,9.533e+02,4.177e+02,1.563e+03
182.3,1.952e+02,9.635e+02,4.164e+02,1.575e+03
183.8,2.063e+02,9.494e+02,4.406e+02,1.596e+03
185.2,1.988e+02,9.492e+02,4.823e+02,1.630e+03
186.7,1.831e+02,9.742e+02,5.267e+02,1.684e+03
188.2,1.812e+02,1.146e+03,6.158e+02,1.943e+03
189.6,1.853e+02,1.339e+03,7.253e+02,2.249e+03
191.1,1.843e+02,1.398e+03,7.452e+02,2.327e+03
192.6,1.986e+02,1.474e+03,7.972e+02,2.470e+03
194.0,2.223e+02,1.913e+03,1.047e+03,3.182e+03
195.5,2.524e+02,2.220e+03,1.245e+03,3.718e+03
197.0,2.540e+02,2.352e+03,1.301e+03,3.907e+03
198.5,2.700e+02,2.534e+03,1.452e+03,4.256e+03
199.9,2.885e+02,2.696e+03,1.621e+03,4.606e+03
