freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.030e+00,9.636e+02,3.931e+02,1.364e+03
1.5,2.445e+01,5.533e+02,2.465e+02,8.243e+02
3.0,2.457e+01,2.422e+01,2.391e+01,7.271e+01
4.5,2.392e+01,2.854e+02,2.418e+01,3.335e+02
6.0,2.379e+01,1.187e+03,2.454e+01,1.235e+03
7.5,2.276e+01,2.084e+03,2.523e+01,2.132e+03
9.0,2.405e+01,3.268e+03,2.695e+01,3.319e+03
10.5,2.520e+01,5.087e+03,2.466e+01,5.137e+03
12.0,2.633e+01,7.410e+03,2.561e+01,7.462e+03
13.5,2.951e+01,8.879e+03,2.863e+01,8.938e+03
15.0,3.847e+01,7.224e+03,3.146e+01,7.294e+03
16.5,4.623e+01,9.531e+03,2.919e+01,9.606e+03
18.0,5.107e+01,1.173e+04,3.149e+01,1.181e+04
19.5,4.070e+01,1.135e+04,2.960e+01,1.142e+04
21.0,3.838e+01,1.391e+04,3.086e+01,1.398e+04
22.5,3.022e+01,1.845e+04,3.477e+01,1.851e+04
24.1,3.061e+01,2.540e+04,5.591e+01,2.549e+04
25.6,3.027e+01,3.450e+04,9.510e+01,3.463e+04
27.1,2.976e+01,4.497e+04,1.655e+02,4.517e+04
28.6,3.054e+01,6.032e+04,3.142e+02,6.066e+04
30.1,3.984e+01,8.409e+04,6.510e+02,8.478e+04
31.6,4.989e+01,1.193e+05,1.438e+03,1.207e+05
33.1,6.605e+01,1.758e+05,3.299e+03,1.791e+05
34.6,9.187e+01,2.727e+05,7.231e+03,2.800e+05
36.1,1.575e+02,4.520e+05,1.646e+04,4.686e+05
37.6,2.503e+02,8.186e+05,4.238e+04,8.612e+05
39.1,3.450e+02,1.758e+06,1.392e+05,1.897e+06
40.6,4.218e+02,3.299e+06,3.404e+05,3.639e+06
42.1,3.372e+02,4.009e+06,5.115e+05,4.520e+06
43.6,3.583e+02,3.307e+06,5.534e+05,3.861e+06
45.1,4.873e+02,2.222e+06,5.218e+05,2.744e+06
46.6,6.026e+02,1.444e+06,4.938e+05,1.939e+06
48.1,6.403e+02,9.740e+05,4.659e+05,1.441e+06
49.6,7.838e+02,7.457e+05,5.215e+05,1.268e+06
51.1,1.855e+03,6.842e+05,9.031e+05,1.589e+06
52.6,4.300e+03,6.595e+05,1.753e+06,2.417e+06
54.1,4.187e+03,4.091e+05,2.086e+06,2.499e+06
55.6,4.266e+03,1.344e+05,1.468e+06,1.607e+06
