freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.409e+02,4.187e+01,3.459e+01,8.174e+02
1.5,4.332e+02,3.741e+01,3.295e+01,5.036e+02
3.0,4.183e+01,1.990e+01,1.557e+01,7.731e+01
4.5,2.669e+02,1.906e+01,1.663e+01,3.026e+02
6.0,1.107e+03,2.111e+01,1.732e+01,1.145e+03
7.4,1.945e+03,2.462e+01,1.674e+01,1.987e+03
8.9,2.879e+03,2.531e+01,1.694e+01,2.921e+03
10.4,4.098e+03,2.939e+01,1.735e+01,4.145e+03
11.9,5.787e+03,3.712e+01,1.801e+01,5.842e+03
13.4,7.929e+03,4.999e+01,1.817e+01,7.997e+03
14.9,8.549e+03,6.564e+01,1.869e+01,8.633e+03
16.4,8.494e+03,4.376e+01,1.929e+01,8.557e+03
17.9,1.019e+04,3.647e+01,1.931e+01,1.024e+04
19.3,1.328e+04,3.426e+01,1.896e+01,1.334e+04
20.8,1.686e+04,3.255e+01,2.142e+01,1.691e+04
22.3,2.094e+04,4.599e+01,2.632e+01,2.101e+04
23.8,2.532e+04,4.001e+01,3.211e+01,2.539e+04
25.3,2.964e+04,2.849e+01,3.145e+01,2.970e+04
26.8,3.608e+04,3.979e+01,3.758e+01,3.616e+04
28.3,4.356e+04,4.724e+01,5.580e+01,4.366e+04
29.8,5.294e+04,4.276e+01,9.684e+01,5.308e+04
31.2,6.556e+04,4.958e+01,1.454e+02,6.576e+04
32.7,7.913e+04,9.049e+01,1.773e+02,7.940e+04
34.2,9.904e+04,1.525e+02,2.595e+02,9.945e+04
35.7,1.277e+05,2.045e+02,4.584e+02,1.283e+05
37.2,1.602e+05,3.237e+02,7.879e+02,1.613e+05
38.7,2.082e+05,1.097e+03,1.208e+03,2.106e+05
40.2,2.838e+05,3.413e+03,1.443e+03,2.886e+05
41.7,3.981e+05,6.744e+03,1.339e+03,4.061e+05
43.1,5.899e+05,9.846e+03,2.446e+03,6.022e+05
44.6,9.907e+05,1.260e+04,8.989e+03,1.012e+06
46.1,1.637e+06,1.338e+04,2.930e+04,1.679e+06
47.6,2.094e+06,1.461e+04,5.665e+04,2.165e+06
49.1,2.117e+06,1.918e+04,6.613e+04,2.202e+06
50.6,1.846e+06,2.228e+04,5.532e+04,1.923e+06
52.1,1.447e+06,1.904e+04,3.777e+04,1.504e+06
53.6,1.161e+06,1.428e+04,2.292e+04,1.198e+06
55.0,1.029e+06,1.184e+04,2.056e+04,1.061e+06
56.5,1.084e+06,1.248e+04,3.146e+04,1.128e+06
58.0,1.151e+06,1.282e+04,4.347e+04,1.208e+06
59.5,1.121e+06,1.264e+04,4.700e+04,1.181e+06
61.0,1.064e+06,1.338e+04,4.643e+04,1.124e+06
62.5,9.663e+05,1.442e+04,4.221e+04,1.023e+06
64.0,8.365e+05,1.464e+04,3.416e+04,8.853e+05
65.5,7.093e+05,1.428e+04,2.526e+04,7.489e+05
66.9,6.198e+05,1.421e+04,1.989e+04,6.539e+05
68.4,5.426e+05,1.414e+04,1.758e+04,5.743e+05
