freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.062e+01,6.020e+02,4.864e+02,1.099e+03
1.5,4.769e+01,3.600e+02,3.068e+02,7.146e+02
2.9,5.524e+01,3.136e+01,3.569e+01,1.223e+02
4.4,5.294e+01,2.405e+02,3.730e+01,3.307e+02
5.8,4.821e+01,1.130e+03,3.515e+01,1.214e+03
7.3,5.112e+01,2.090e+03,3.484e+01,2.176e+03
8.8,5.549e+01,3.249e+03,4.047e+01,3.344e+03
10.2,5.340e+01,5.061e+03,3.927e+01,5.154e+03
11.7,5.437e+01,6.860e+03,3.820e+01,6.953e+03
13.1,5.736e+01,6.098e+03,4.270e+01,6.198e+03
14.6,5.045e+01,6.927e+03,3.964e+01,7.017e+03
16.1,4.744e+01,9.479e+03,4.106e+01,9.567e+03
17.5,5.117e+01,1.264e+04,4.365e+01,1.274e+04
19.0,6.148e+01,1.442e+04,4.370e+01,1.452e+04
20.5,6.432e+01,1.576e+04,5.095e+01,1.587e+04
21.9,6.215e+01,2.119e+04,7.007e+01,2.132e+04
23.4,6.066e+01,2.908e+04,1.075e+02,2.925e+04
24.8,6.487e+01,3.909e+04,1.878e+02,3.934e+04
26.3,7.517e+01,5.228e+04,3.519e+02,5.271e+04
27.8,7.454e+01,7.157e+04,6.594e+02,7.231e+04
29.2,7.041e+01,1.004e+05,1.284e+03,1.018e+05
30.7,6.447e+01,1.448e+05,2.597e+03,1.475e+05
32.1,6.526e+01,2.230e+05,6.189e+03,2.292e+05
33.6,7.982e+01,3.994e+05,2.006e+04,4.196e+05
35.1,2.061e+02,9.804e+05,1.182e+05,1.099e+06
36.5,1.073e+03,1.920e+06,4.356e+05,2.356e+06
38.0,1.853e+03,1.998e+06,6.553e+05,2.656e+06
39.4,1.539e+03,1.537e+06,6.537e+05,2.192e+06
40.9,1.027e+03,1.129e+06,6.393e+05,1.769e+06
42.4,7.147e+02,8.072e+05,6.454e+05,1.453e+06
43.8,7.149e+02,6.102e+05,6.213e+05,1.232e+06
45.3,5.545e+02,5.325e+05,6.928e+05,1.226e+06
46.7,6.223e+02,4.678e+05,1.196e+06,1.664e+06
48.2,1.165e+03,3.626e+05,1.857e+06,2.220e+06
49.7,8.613e+02,2.300e+05,1.805e+06,2.036e+06
51.1,8.865e+02,1.387e+05,1.378e+06,1.518e+06
52.6,2.266e+03,8.505e+04,1.033e+06,1.120e+06
54.0,3.024e+03,5.332e+04,7.646e+05,8.209e+05
55.5,2.428e+03,3.890e+04,5.515e+05,5.928e+05
57.0,1.817e+03,3.215e+04,4.010e+05,4.350e+05
58.4,1.129e+03,2.782e+04,3.011e+05,3.301e+05
59.9,7.611e+02,3.036e+04,2.528e+05,2.840e+05
61.4,6.840e+02,3.297e+04,1.908e+05,2.245e+05
62.8,7.349e+02,3.672e+04,1.538e+05,1.912e+05
64.3,7.252e+02,3.957e+04,1.234e+05,1.637e+05
65.7,8.552e+02,4.262e+04,1.014e+05,1.449e+05
67.2,1.563e+03,4.708e+04,8.719e+04,1.358e+05
68.7,2.529e+03,5.012e+04,7.640e+04,1.290e+05
70.1,2.887e+03,4.961e+04,6.787e+04,1.204e+05
71.6,2.665e+03,4.773e+04,6.298e+04,1.134e+05
73.0,2.110e+03,4.545e+04,5.851e+04,1.061e+05
74.5,1.693e+03,4.099e+04,5.179e+04,9.447e+04
76.0,1.800e+03,3.587e+04,4.455e+04,8.222e+04
77.4,1.706e+03,3.103e+04,3.796e+04,7.069e+04
78.9,1.532e+03,2.743e+04,3.296e+04,6.193e+04
80.3,1.467e+03,2.618e+04,3.108e+04,5.873e+04
81.8,1.408e+03,2.577e+04,2.957e+04,5.675e+04
83.3,1.216e+03,2.638e+04,2.869e+04,5.628e+04
84.7,6.556e+02,2.741e+04,2.862e+04,5.668e+04
86.2,4.624e+02,2.796e+04,2.810e+04,5.652e+04
87.6,4.890e+02,2.811e+04,2.702e+04,5.561e+04
89.1,8.413e+02,2.960e+04,2.659e+04,5.703e+04
90.6,1.462e+03,3.144e+04,2.727e+04,6.017e+04
92.0,1.924e+03,3.338e+04,2.984e+04,6.514e+04
93.5,2.255e+03,3.461e+04,3.305e+04,6.992e+04
94.9,2.520e+03,3.619e+04,3.446e+04,7.318e+04
96.4,2.509e+03,3.953e+04,3.391e+04,7.595e+04
97.9,2.439e+03,4.302e+04,3.635e+04,8.181e+04
99.3,2.351e+03,4.654e+04,4.323e+04,9.212e+04
