freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.849e+00,9.612e+02,3.597e+02,1.330e+03
1.5,3.402e+01,5.505e+02,2.211e+02,8.056e+02
2.9,4.091e+01,2.796e+01,2.496e+01,9.382e+01
4.4,4.475e+01,2.281e+02,2.377e+01,2.966e+02
5.8,4.250e+01,1.108e+03,2.249e+01,1.173e+03
7.3,4.807e+01,2.006e+03,2.067e+01,2.075e+03
8.7,4.644e+01,3.061e+03,2.096e+01,3.128e+03
10.2,4.259e+01,4.708e+03,2.383e+01,4.775e+03
11.6,4.293e+01,7.432e+03,2.385e+01,7.499e+03
13.1,4.626e+01,8.456e+03,2.806e+01,8.530e+03
14.5,5.352e+01,6.015e+03,2.874e+01,6.097e+03
16.0,5.339e+01,7.329e+03,2.665e+01,7.409e+03
17.5,5.237e+01,1.153e+04,2.498e+01,1.161e+04
18.9,6.649e+01,1.399e+04,2.476e+01,1.408e+04
20.4,7.524e+01,1.542e+04,2.693e+01,1.552e+04
21.8,7.020e+01,2.034e+04,4.123e+01,2.045e+04
23.3,8.213e+01,2.755e+04,6.868e+01,2.770e+04
24.7,7.028e+01,3.363e+04,1.055e+02,3.380e+04
26.2,6.597e+01,4.186e+04,1.960e+02,4.213e+04
27.6,7.348e+01,5.685e+04,3.966e+02,5.732e+04
29.1,9.108e+01,7.937e+04,7.562e+02,8.022e+04
30.5,1.353e+02,1.116e+05,1.431e+03,1.131e+05
32.0,2.017e+02,1.608e+05,3.053e+03,1.640e+05
33.5,2.212e+02,2.508e+05,7.183e+03,2.582e+05
34.9,3.512e+02,4.451e+05,1.879e+04,4.642e+05
36.4,1.221e+03,9.258e+05,5.863e+04,9.857e+05
37.8,3.416e+03,2.173e+06,2.168e+05,2.393e+06
39.3,5.275e+03,3.692e+06,5.478e+05,4.245e+06
40.7,3.898e+03,3.370e+06,6.971e+05,4.071e+06
42.2,1.452e+03,2.305e+06,6.193e+05,2.925e+06
43.6,4.129e+02,1.612e+06,5.319e+05,2.145e+06
45.1,4.709e+02,1.133e+06,4.635e+05,1.597e+06
46.5,1.016e+03,8.209e+05,4.601e+05,1.282e+06
48.0,1.465e+03,6.745e+05,6.137e+05,1.290e+06
49.5,1.040e+03,6.787e+05,1.183e+06,1.863e+06
50.9,1.022e+03,5.874e+05,1.967e+06,2.555e+06
52.4,1.633e+03,2.997e+05,1.858e+06,2.160e+06
53.8,2.865e+03,1.062e+05,1.239e+06,1.348e+06
55.3,4.652e+03,3.323e+04,7.390e+05,7.769e+05
56.7,5.313e+03,1.473e+04,4.558e+05,4.758e+05
58.2,3.522e+03,1.373e+04,3.078e+05,3.251e+05
59.6,2.053e+03,1.652e+04,2.203e+05,2.389e+05
61.1,1.537e+03,2.083e+04,1.647e+05,1.870e+05
62.5,1.998e+03,2.483e+04,1.296e+05,1.564e+05
64.0,3.261e+03,2.772e+04,1.044e+05,1.354e+05
65.5,3.787e+03,3.001e+04,8.514e+04,1.189e+05
66.9,3.437e+03,3.213e+04,7.285e+04,1.084e+05
68.4,3.586e+03,3.361e+04,6.500e+04,1.022e+05
69.8,3.867e+03,3.532e+04,5.950e+04,9.869e+04
71.3,4.106e+03,3.886e+04,5.585e+04,9.882e+04
