freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.103e+03,3.841e+01,1.621e+01,1.158e+03
1.5,6.352e+02,3.773e+01,2.338e+01,6.963e+02
3.0,3.788e+01,2.240e+01,2.025e+01,8.053e+01
4.5,2.901e+02,2.208e+01,2.046e+01,3.327e+02
6.0,1.150e+03,2.763e+01,1.847e+01,1.196e+03
7.5,1.956e+03,4.077e+01,1.863e+01,2.015e+03
9.0,2.905e+03,6.944e+01,1.858e+01,2.993e+03
10.5,4.267e+03,1.013e+02,2.004e+01,4.388e+03
11.9,5.739e+03,1.583e+02,2.003e+01,5.917e+03
13.4,5.793e+03,1.521e+02,1.950e+01,5.964e+03
14.9,6.275e+03,7.430e+01,1.993e+01,6.369e+03
16.4,8.295e+03,4.994e+01,2.069e+01,8.366e+03
17.9,1.097e+04,3.810e+01,2.052e+01,1.103e+04
19.4,1.454e+04,3.587e+01,2.121e+01,1.459e+04
20.9,1.746e+04,3.878e+01,2.114e+01,1.752e+04
22.4,1.902e+04,3.317e+01,2.260e+01,1.907e+04
23.9,2.216e+04,2.767e+01,2.555e+01,2.221e+04
25.4,2.678e+04,2.621e+01,2.843e+01,2.683e+04
26.9,3.185e+04,3.178e+01,2.940e+01,3.191e+04
28.4,3.747e+04,4.206e+01,2.692e+01,3.754e+04
29.9,4.461e+04,5.208e+01,2.621e+01,4.469e+04
31.4,5.337e+04,6.528e+01,2.867e+01,5.346e+04
32.9,6.390e+04,8.187e+01,3.664e+01,6.402e+04
34.4,7.750e+04,1.149e+02,4.575e+01,7.766e+04
35.8,9.501e+04,1.372e+02,6.587e+01,9.521e+04
37.3,1.163e+05,1.398e+02,1.079e+02,1.165e+05
38.8,1.422e+05,1.011e+02,2.762e+02,1.426e+05
40.3,1.765e+05,2.017e+02,7.588e+02,1.775e+05
41.8,2.260e+05,1.362e+03,1.838e+03,2.292e+05
43.3,2.980e+05,5.548e+03,3.155e+03,3.067e+05
44.8,4.111e+05,1.406e+04,3.585e+03,4.287e+05
46.3,5.504e+05,2.389e+04,2.753e+03,5.770e+05
47.8,5.946e+05,2.580e+04,1.068e+03,6.214e+05
49.3,6.600e+05,2.770e+04,4.500e+02,6.882e+05
50.8,7.999e+05,3.441e+04,1.281e+03,8.356e+05
52.3,1.064e+06,3.788e+04,3.627e+03,1.105e+06
53.8,1.681e+06,4.336e+04,8.070e+03,1.733e+06
55.3,2.891e+06,6.087e+04,1.812e+04,2.970e+06
56.8,4.425e+06,8.260e+04,4.142e+04,4.549e+06
58.3,5.273e+06,8.778e+04,5.784e+04,5.419e+06
59.7,4.904e+06,7.273e+04,4.038e+04,5.017e+06
61.2,4.071e+06,5.647e+04,2.122e+04,4.149e+06
62.7,3.313e+06,4.564e+04,1.563e+04,3.374e+06
64.2,2.642e+06,3.857e+04,1.412e+04,2.694e+06
65.7,2.119e+06,3.774e+04,1.696e+04,2.174e+06
67.2,1.747e+06,3.820e+04,1.728e+04,1.803e+06
68.7,1.438e+06,3.714e+04,1.636e+04,1.491e+06
70.2,1.168e+06,3.433e+04,1.566e+04,1.218e+06
71.7,9.543e+05,3.192e+04,1.522e+04,1.001e+06
73.2,8.150e+05,3.150e+04,1.533e+04,8.618e+05
74.7,7.045e+05,3.100e+04,1.507e+04,7.506e+05
76.2,6.207e+05,2.947e+04,1.441e+04,6.646e+05
77.7,5.509e+05,2.755e+04,1.370e+04,5.922e+05
79.2,4.982e+05,2.698e+04,1.389e+04,5.391e+05
80.7,4.638e+05,2.730e+04,1.423e+04,5.053e+05
82.2,4.366e+05,2.674e+04,1.356e+04,4.769e+05
83.6,4.109e+05,2.583e+04,1.237e+04,4.491e+05
85.1,3.847e+05,2.541e+04,1.170e+04,4.218e+05
86.6,3.557e+05,2.498e+04,1.098e+04,3.916e+05
88.1,3.253e+05,2.483e+04,1.025e+04,3.603e+05
89.6,2.998e+05,2.541e+04,1.004e+04,3.352e+05
91.1,2.769e+05,2.662e+04,1.018e+04,3.137e+05
92.6,2.592e+05,2.844e+04,1.044e+04,2.981e+05
94.1,2.469e+05,3.114e+04,1.069e+04,2.887e+05
95.6,2.391e+05,3.412e+04,1.055e+04,2.838e+05
97.1,2.298e+05,3.613e+04,9.147e+03,2.751e+05
98.6,2.167e+05,3.869e+04,6.897e+03,2.623e+05
100.1,2.132e+05,4.448e+04,5.215e+03,2.629e+05
101.6,2.118e+05,5.000e+04,4.193e+03,2.660e+05
103.1,2.143e+05,5.656e+04,3.977e+03,2.748e+05
104.6,2.141e+05,6.325e+04,4.978e+03,2.823e+05
106.1,2.110e+05,6.408e+04,6.359e+03,2.815e+05
107.5,2.079e+05,6.356e+04,7.555e+03,2.790e+05
109.0,2.070e+05,6.520e+04,8.465e+03,2.807e+05
110.5,2.036e+05,6.666e+04,9.557e+03,2.798e+05
112.0,1.909e+05,6.618e+04,1.056e+04,2.676e+05
113.5,1.781e+05,6.678e+04,1.186e+04,2.567e+05
115.0,1.784e+05,7.157e+04,1.399e+04,2.639e+05
116.5,1.836e+05,7.503e+04,1.640e+04,2.751e+05
118.0,1.900e+05,7.428e+04,1.937e+04,2.837e+05
119.5,2.063e+05,7.387e+04,2.469e+04,3.048e+05
121.0,2.281e+05,7.821e+04,3.042e+04,3.368e+05
122.5,2.355e+05,8.123e+04,3.361e+04,3.504e+05
124.0,2.497e+05,8.647e+04,4.029e+04,3.765e+05
125.5,2.847e+05,1.002e+05,5.240e+04,4.372e+05
127.0,3.431e+05,1.224e+05,7.150e+04,5.370e+05
128.5,4.326e+05,1.485e+05,9.986e+04,6.810e+05
130.0,4.649e+05,1.403e+05,1.117e+05,7.169e+05
131.4,4.737e+05,1.244e+05,1.203e+05,7.184e+05
132.9,2.955e+05,7.358e+04,7.887e+04,4.480e+05
134.4,4.160e+04,1.052e+04,1.191e+04,6.404e+04
