freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.542e+02,2.097e+01,1.130e+01,8.865e+02
1.5,4.962e+02,2.968e+01,2.328e+01,5.492e+02
3.0,4.216e+01,2.348e+01,2.292e+01,8.856e+01
4.5,3.106e+02,3.089e+01,2.312e+01,3.646e+02
6.0,9.026e+02,4.737e+01,2.308e+01,9.731e+02
7.5,1.432e+03,3.077e+01,2.356e+01,1.486e+03
9.0,2.185e+03,2.534e+01,2.586e+01,2.236e+03
10.5,3.103e+03,2.545e+01,2.494e+01,3.153e+03
12.0,4.115e+03,2.687e+01,2.467e+01,4.166e+03
13.5,5.383e+03,2.872e+01,2.443e+01,5.436e+03
15.0,6.463e+03,2.913e+01,2.484e+01,6.517e+03
16.5,7.543e+03,2.797e+01,2.606e+01,7.597e+03
18.0,9.346e+03,2.913e+01,2.810e+01,9.403e+03
19.5,1.160e+04,3.050e+01,2.911e+01,1.166e+04
21.0,1.399e+04,6.711e+01,5.121e+01,1.411e+04
22.5,1.636e+04,1.040e+02,5.570e+01,1.652e+04
24.0,1.913e+04,1.037e+02,3.385e+01,1.927e+04
25.5,2.256e+04,1.010e+02,3.082e+01,2.270e+04
27.0,2.655e+04,1.088e+02,3.056e+01,2.669e+04
28.5,3.116e+04,1.224e+02,2.716e+01,3.131e+04
30.0,3.620e+04,1.669e+02,2.428e+01,3.640e+04
31.5,4.238e+04,2.462e+02,2.297e+01,4.265e+04
33.0,5.084e+04,3.225e+02,2.755e+01,5.119e+04
34.5,6.180e+04,4.182e+02,8.654e+01,6.230e+04
36.0,7.152e+04,4.685e+02,2.564e+02,7.225e+04
37.5,7.883e+04,4.896e+02,2.809e+02,7.960e+04
39.0,9.510e+04,6.697e+02,2.277e+02,9.600e+04
40.5,1.201e+05,1.123e+03,2.866e+02,1.215e+05
42.0,1.537e+05,1.584e+03,2.798e+02,1.556e+05
43.5,1.627e+05,1.684e+03,2.815e+02,1.646e+05
45.0,1.503e+05,1.483e+03,3.367e+02,1.521e+05
46.6,1.863e+05,2.097e+03,5.466e+02,1.890e+05
48.1,2.514e+05,2.457e+03,1.914e+03,2.558e+05
49.6,2.979e+05,1.341e+03,3.627e+03,3.029e+05
51.1,3.601e+05,4.141e+03,2.019e+03,3.663e+05
52.6,5.047e+05,9.217e+03,1.492e+03,5.154e+05
54.1,7.662e+05,1.027e+04,4.721e+03,7.812e+05
55.6,1.226e+06,7.837e+03,1.001e+04,1.244e+06
57.1,2.220e+06,8.991e+03,2.042e+04,2.250e+06
