freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.975e+00,5.381e+02,5.053e+02,1.051e+03
1.5,2.743e+01,3.130e+02,2.939e+02,6.343e+02
3.0,2.959e+01,2.705e+01,1.783e+01,7.447e+01
4.5,2.789e+01,2.729e+02,1.819e+01,3.189e+02
6.0,3.029e+01,1.191e+03,1.809e+01,1.239e+03
7.4,3.197e+01,2.133e+03,1.954e+01,2.185e+03
8.9,3.004e+01,3.314e+03,2.183e+01,3.366e+03
10.4,3.061e+01,5.280e+03,2.151e+01,5.333e+03
11.9,3.523e+01,8.508e+03,2.433e+01,8.567e+03
13.4,4.647e+01,9.007e+03,2.776e+01,9.081e+03
14.9,5.812e+01,7.491e+03,2.579e+01,7.575e+03
16.4,5.501e+01,9.086e+03,2.785e+01,9.169e+03
17.9,5.650e+01,1.293e+04,4.141e+01,1.302e+04
19.3,7.041e+01,1.787e+04,6.964e+01,1.801e+04
20.8,7.221e+01,2.151e+04,9.045e+01,2.167e+04
22.3,5.078e+01,2.514e+04,1.170e+02,2.531e+04
23.8,4.219e+01,3.234e+04,1.887e+02,3.257e+04
25.3,3.881e+01,4.483e+04,3.733e+02,4.524e+04
26.8,3.756e+01,6.453e+04,8.063e+02,6.538e+04
28.3,4.484e+01,9.604e+04,1.849e+03,9.794e+04
29.8,5.660e+01,1.475e+05,4.336e+03,1.519e+05
31.2,6.709e+01,2.493e+05,1.191e+04,2.613e+05
32.7,9.873e+01,5.046e+05,4.625e+04,5.509e+05
34.2,3.494e+02,1.089e+06,1.808e+05,1.270e+06
35.7,1.066e+03,1.673e+06,4.122e+05,2.087e+06
37.2,1.526e+03,1.602e+06,5.533e+05,2.157e+06
38.7,1.189e+03,1.125e+06,5.564e+05,1.682e+06
40.2,7.015e+02,7.216e+05,5.398e+05,1.262e+06
41.7,4.908e+02,4.928e+05,5.690e+05,1.062e+06
43.1,6.994e+02,3.812e+05,6.704e+05,1.052e+06
44.6,1.412e+03,3.165e+05,8.697e+05,1.188e+06
46.1,3.628e+03,2.701e+05,1.228e+06,1.502e+06
47.6,4.612e+03,2.205e+05,1.496e+06,1.721e+06
49.1,2.366e+03,1.657e+05,1.272e+06,1.440e+06
50.6,1.357e+03,1.152e+05,9.535e+05,1.070e+06
52.1,1.711e+03,7.098e+04,7.179e+05,7.906e+05
53.6,1.702e+03,5.176e+04,5.218e+05,5.753e+05
55.0,1.899e+03,4.741e+04,3.666e+05,4.159e+05
56.5,3.348e+03,4.786e+04,2.668e+05,3.180e+05
58.0,5.924e+03,5.294e+04,2.115e+05,2.703e+05
59.5,8.567e+03,5.567e+04,1.688e+05,2.330e+05
61.0,9.735e+03,5.531e+04,1.366e+05,2.016e+05
62.5,9.741e+03,5.392e+04,1.137e+05,1.774e+05
64.0,9.184e+03,5.117e+04,9.423e+04,1.546e+05
65.5,7.406e+03,4.734e+04,7.936e+04,1.341e+05
66.9,6.481e+03,4.632e+04,7.147e+04,1.243e+05
68.4,6.168e+03,4.868e+04,6.890e+04,1.237e+05
69.9,5.405e+03,5.191e+04,6.960e+04,1.269e+05
71.4,5.173e+03,5.222e+04,6.654e+04,1.239e+05
72.9,4.710e+03,5.337e+04,6.269e+04,1.208e+05
74.4,3.892e+03,5.511e+04,5.908e+04,1.181e+05
75.9,3.084e+03,5.358e+04,5.451e+04,1.112e+05
77.4,2.419e+03,4.552e+04,4.521e+04,9.316e+04
78.8,1.981e+03,3.594e+04,3.613e+04,7.405e+04
80.3,1.507e+03,3.004e+04,3.146e+04,6.301e+04
81.8,1.225e+03,2.706e+04,2.976e+04,5.804e+04
83.3,1.157e+03,2.676e+04,3.033e+04,5.825e+04
84.8,1.078e+03,2.783e+04,3.179e+04,6.070e+04
86.3,1.050e+03,3.014e+04,3.408e+04,6.527e+04
87.8,9.075e+02,3.254e+04,3.585e+04,6.929e+04
89.3,7.246e+02,3.464e+04,3.751e+04,7.288e+04
90.7,6.819e+02,3.744e+04,3.991e+04,7.803e+04
92.2,8.177e+02,4.295e+04,4.480e+04,8.857e+04
93.7,7.935e+02,5.237e+04,5.505e+04,1.082e+05
95.2,7.024e+02,5.408e+04,5.975e+04,1.145e+05
96.7,7.132e+02,6.684e+04,8.162e+04,1.492e+05
98.2,8.900e+02,7.672e+04,1.105e+05,1.881e+05
99.7,1.252e+03,7.775e+04,1.340e+05,2.130e+05
101.2,1.381e+03,7.714e+04,1.444e+05,2.230e+05
102.6,1.104e+03,6.574e+04,1.343e+05,2.011e+05
104.1,6.581e+02,4.393e+04,9.275e+04,1.373e+05
105.6,6.529e+02,2.775e+04,5.167e+04,8.007e+04
107.1,9.638e+02,1.943e+04,2.705e+04,4.745e+04
108.6,8.992e+02,1.228e+04,1.510e+04,2.828e+04
110.1,9.797e+02,9.521e+03,1.004e+04,2.054e+04
111.6,1.079e+03,8.629e+03,1.163e+04,2.133e+04
113.1,1.057e+03,8.171e+03,1.072e+04,1.994e+04
114.6,1.166e+03,6.714e+03,8.370e+03,1.625e+04
116.0,1.180e+03,5.227e+03,6.841e+03,1.325e+04
117.5,1.240e+03,3.922e+03,5.584e+03,1.075e+04
119.0,1.297e+03,3.713e+03,4.523e+03,9.534e+03
120.5,1.131e+03,2.907e+03,3.275e+03,7.313e+03
122.0,9.700e+02,1.948e+03,2.612e+03,5.530e+03
123.5,1.505e+03,2.475e+03,2.216e+03,6.195e+03
125.0,2.989e+03,5.128e+03,1.892e+03,1.001e+04
126.5,5.151e+03,9.373e+03,1.855e+03,1.638e+04
127.9,6.788e+03,1.174e+04,1.800e+03,2.033e+04
129.4,6.317e+03,1.012e+04,1.281e+03,1.772e+04
130.9,4.766e+03,7.012e+03,7.979e+02,1.258e+04
132.4,2.453e+03,3.788e+03,5.266e+02,6.767e+03
133.9,4.174e+02,1.310e+03,4.425e+02,2.169e+03
135.4,1.173e+02,1.047e+03,4.946e+02,1.659e+03
136.9,1.404e+02,1.344e+03,5.646e+02,2.048e+03
138.4,2.001e+02,1.692e+03,5.780e+02,2.470e+03
139.8,2.928e+02,2.041e+03,6.388e+02,2.972e+03
141.3,3.753e+02,2.177e+03,6.308e+02,3.183e+03
142.8,4.377e+02,1.859e+03,5.821e+02,2.879e+03
144.3,4.407e+02,1.220e+03,5.151e+02,2.176e+03
145.8,3.932e+02,6.951e+02,4.080e+02,1.496e+03
147.3,3.304e+02,4.206e+02,3.112e+02,1.062e+03
148.8,2.706e+02,2.941e+02,2.667e+02,8.315e+02
150.3,2.164e+02,2.648e+02,2.340e+02,7.152e+02
151.7,1.696e+02,2.529e+02,2.097e+02,6.322e+02
153.2,1.422e+02,2.640e+02,1.917e+02,5.980e+02
154.7,1.364e+02,2.952e+02,1.899e+02,6.214e+02
156.2,1.478e+02,3.141e+02,1.819e+02,6.439e+02
157.7,1.583e+02,3.221e+02,1.862e+02,6.666e+02
159.2,1.617e+02,3.147e+02,1.889e+02,6.653e+02
160.7,1.743e+02,3.503e+02,1.963e+02,7.210e+02
162.2,1.726e+02,3.946e+02,2.061e+02,7.732e+02
163.6,1.745e+02,3.838e+02,2.072e+02,7.655e+02
165.1,1.888e+02,4.544e+02,2.510e+02,8.942e+02
166.6,2.143e+02,5.662e+02,3.227e+02,1.103e+03
168.1,2.014e+02,6.253e+02,3.682e+02,1.195e+03
169.6,1.766e+02,7.008e+02,4.431e+02,1.320e+03
171.1,1.596e+02,8.218e+02,5.290e+02,1.510e+03
172.6,1.790e+02,9.051e+02,5.835e+02,1.668e+03
174.1,1.848e+02,9.853e+02,6.614e+02,1.831e+03
175.5,1.773e+02,1.103e+03,7.679e+02,2.048e+03
177.0,1.746e+02,1.328e+03,9.611e+02,2.463e+03
178.5,2.010e+02,1.824e+03,1.366e+03,3.391e+03
180.0,2.111e+02,2.351e+03,1.917e+03,4.479e+03
181.5,2.073e+02,2.684e+03,2.413e+03,5.304e+03
183.0,1.982e+02,2.920e+03,2.804e+03,5.922e+03
184.5,1.863e+02,3.357e+03,3.382e+03,6.925e+03
186.0,1.787e+02,3.962e+03,4.171e+03,8.311e+03
187.4,1.776e+02,4.473e+03,4.877e+03,9.528e+03
188.9,1.816e+02,5.174e+03,5.768e+03,1.112e+04
190.4,1.821e+02,6.427e+03,7.076e+03,1.369e+04
191.9,1.721e+02,7.985e+03,8.861e+03,1.702e+04
193.4,1.923e+02,9.864e+03,1.119e+04,2.125e+04
194.9,2.044e+02,1.070e+04,1.217e+04,2.307e+04
196.4,1.995e+02,9.421e+03,1.040e+04,2.002e+04
