freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.362e+03,3.248e+01,1.765e+01,1.412e+03
1.5,7.931e+02,4.076e+01,3.348e+01,8.674e+02
3.0,4.671e+01,2.948e+01,3.493e+01,1.111e+02
4.5,3.492e+02,3.173e+01,4.072e+01,4.216e+02
6.0,9.635e+02,4.075e+01,3.755e+01,1.042e+03
7.5,1.408e+03,3.262e+01,4.247e+01,1.483e+03
9.0,2.204e+03,2.889e+01,4.932e+01,2.282e+03
10.5,3.141e+03,3.061e+01,4.470e+01,3.216e+03
12.0,4.176e+03,2.978e+01,4.915e+01,4.255e+03
13.5,5.510e+03,2.787e+01,3.603e+01,5.574e+03
15.0,7.035e+03,3.090e+01,3.614e+01,7.102e+03
16.5,8.219e+03,2.894e+01,3.704e+01,8.285e+03
18.0,1.039e+04,2.648e+01,3.452e+01,1.045e+04
19.5,1.296e+04,3.535e+01,3.520e+01,1.303e+04
21.0,1.583e+04,7.023e+01,5.207e+01,1.595e+04
22.5,1.831e+04,9.576e+01,7.550e+01,1.848e+04
24.0,2.183e+04,7.163e+01,5.810e+01,2.195e+04
25.5,2.637e+04,5.829e+01,4.757e+01,2.647e+04
27.0,3.165e+04,6.041e+01,4.383e+01,3.175e+04
28.5,3.736e+04,7.998e+01,4.323e+01,3.749e+04
30.0,4.373e+04,1.177e+02,4.655e+01,4.390e+04
31.5,5.195e+04,1.542e+02,5.137e+01,5.216e+04
33.0,6.265e+04,1.999e+02,5.547e+01,6.290e+04
34.5,7.667e+04,2.681e+02,9.636e+01,7.704e+04
36.0,9.278e+04,3.732e+02,2.112e+02,9.336e+04
37.5,1.038e+05,4.867e+02,2.301e+02,1.045e+05
39.0,1.264e+05,7.895e+02,2.093e+02,1.274e+05
40.5,1.668e+05,1.468e+03,6.001e+02,1.688e+05
42.0,1.919e+05,1.954e+03,1.259e+03,1.951e+05
43.5,1.673e+05,1.628e+03,1.424e+03,1.704e+05
45.1,1.806e+05,1.579e+03,1.382e+03,1.835e+05
46.6,2.517e+05,2.808e+03,2.355e+03,2.569e+05
48.1,3.523e+05,4.722e+03,7.161e+03,3.642e+05
49.6,4.527e+05,4.577e+03,1.491e+04,4.722e+05
51.1,5.484e+05,4.041e+03,1.654e+04,5.690e+05
52.6,6.950e+05,6.124e+03,1.258e+04,7.137e+05
54.1,9.875e+05,8.004e+03,6.533e+03,1.002e+06
55.6,1.555e+06,1.195e+04,4.237e+03,1.572e+06
57.1,2.798e+06,2.568e+04,4.029e+03,2.828e+06
58.6,5.155e+06,4.966e+04,6.286e+03,5.211e+06
60.1,7.731e+06,9.086e+04,1.346e+04,7.836e+06
61.6,8.277e+06,1.124e+05,1.485e+04,8.404e+06
63.1,6.665e+06,8.784e+04,9.633e+03,6.763e+06
64.6,4.649e+06,5.309e+04,9.691e+03,4.711e+06
66.1,3.256e+06,3.429e+04,1.410e+04,3.305e+06
67.6,2.475e+06,2.925e+04,1.976e+04,2.524e+06
69.1,1.963e+06,2.831e+04,2.049e+04,2.012e+06
70.6,1.533e+06,2.521e+04,1.735e+04,1.575e+06
72.1,1.208e+06,2.318e+04,1.667e+04,1.247e+06
73.6,1.001e+06,2.513e+04,2.010e+04,1.047e+06
75.1,8.753e+05,2.987e+04,2.630e+04,9.314e+05
76.6,8.291e+05,3.463e+04,3.162e+04,8.953e+05
78.1,7.975e+05,3.539e+04,3.033e+04,8.633e+05
79.6,7.673e+05,3.349e+04,2.385e+04,8.247e+05
81.1,7.632e+05,3.226e+04,1.848e+04,8.139e+05
82.6,7.533e+05,3.058e+04,1.451e+04,7.984e+05
84.1,7.138e+05,2.833e+04,1.112e+04,7.532e+05
85.6,6.377e+05,2.683e+04,9.505e+03,6.741e+05
87.1,5.472e+05,2.690e+04,1.046e+04,5.845e+05
88.6,4.813e+05,2.745e+04,1.111e+04,5.199e+05
90.1,4.395e+05,2.742e+04,1.048e+04,4.775e+05
91.6,4.053e+05,2.674e+04,1.014e+04,4.422e+05
93.1,3.714e+05,2.483e+04,9.227e+03,4.055e+05
94.6,3.418e+05,2.275e+04,7.771e+03,3.723e+05
96.1,3.143e+05,2.162e+04,6.561e+03,3.425e+05
97.6,2.826e+05,2.082e+04,5.584e+03,3.090e+05
99.1,2.544e+05,2.024e+04,4.420e+03,2.791e+05
100.6,2.432e+05,2.061e+04,3.197e+03,2.670e+05
102.1,2.380e+05,2.139e+04,2.451e+03,2.618e+05
103.6,2.384e+05,2.237e+04,1.964e+03,2.627e+05
105.1,2.382e+05,2.513e+04,2.110e+03,2.654e+05
106.6,2.405e+05,3.041e+04,3.005e+03,2.739e+05
108.1,2.462e+05,3.732e+04,4.340e+03,2.878e+05
109.6,2.497e+05,4.479e+04,5.919e+03,3.004e+05
111.1,2.410e+05,4.994e+04,7.621e+03,2.985e+05
112.6,2.166e+05,5.146e+04,9.069e+03,2.772e+05
114.1,2.085e+05,5.460e+04,1.006e+04,2.731e+05
115.6,2.112e+05,5.910e+04,1.061e+04,2.810e+05
117.1,2.157e+05,6.397e+04,1.143e+04,2.911e+05
118.6,2.218e+05,7.141e+04,1.313e+04,3.063e+05
120.1,2.253e+05,8.103e+04,1.551e+04,3.218e+05
121.6,2.291e+05,9.247e+04,1.782e+04,3.394e+05
123.1,2.323e+05,1.028e+05,1.941e+04,3.545e+05
124.6,2.355e+05,1.136e+05,2.049e+04,3.696e+05
126.1,2.378e+05,1.235e+05,2.087e+04,3.822e+05
127.6,2.439e+05,1.361e+05,2.126e+04,4.013e+05
129.1,2.477e+05,1.498e+05,2.158e+04,4.191e+05
130.6,2.335e+05,1.547e+05,1.976e+04,4.079e+05
132.2,1.830e+05,1.294e+05,1.482e+04,3.272e+05
133.7,5.882e+04,3.973e+04,5.691e+03,1.042e+05
135.2,1.023e+04,3.492e+03,2.380e+03,1.611e+04
136.7,9.849e+03,2.494e+03,2.806e+03,1.515e+04
138.2,9.892e+03,1.924e+03,2.998e+03,1.482e+04
139.7,1.037e+04,1.634e+03,3.177e+03,1.518e+04
