freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.549e+02,2.001e+01,1.310e+01,8.880e+02
1.5,4.941e+02,2.433e+01,1.924e+01,5.377e+02
3.0,3.545e+01,1.675e+01,1.509e+01,6.729e+01
4.5,2.740e+02,1.738e+01,1.664e+01,3.080e+02
6.0,1.119e+03,1.853e+01,1.669e+01,1.154e+03
7.5,1.975e+03,1.688e+01,1.501e+01,2.006e+03
9.0,2.881e+03,1.613e+01,1.586e+01,2.913e+03
10.5,4.047e+03,1.687e+01,1.603e+01,4.080e+03
12.0,5.668e+03,1.612e+01,1.597e+01,5.700e+03
13.5,6.831e+03,1.659e+01,1.575e+01,6.864e+03
15.0,6.046e+03,1.794e+01,1.705e+01,6.081e+03
16.5,6.814e+03,1.756e+01,1.715e+01,6.849e+03
18.1,9.189e+03,1.870e+01,1.686e+01,9.224e+03
19.6,1.158e+04,1.982e+01,1.816e+01,1.162e+04
21.1,1.406e+04,1.683e+01,1.723e+01,1.410e+04
22.6,1.758e+04,1.814e+01,1.816e+01,1.761e+04
24.1,1.987e+04,2.012e+01,1.913e+01,1.991e+04
25.6,2.275e+04,1.914e+01,1.832e+01,2.279e+04
27.1,2.695e+04,2.381e+01,1.904e+01,2.700e+04
28.6,3.187e+04,2.389e+01,2.489e+01,3.192e+04
30.1,3.841e+04,1.990e+01,3.485e+01,3.846e+04
31.6,4.556e+04,2.498e+01,5.031e+01,4.563e+04
33.1,5.227e+04,4.370e+01,5.969e+01,5.237e+04
34.6,5.988e+04,8.780e+01,6.221e+01,6.003e+04
36.1,7.425e+04,1.710e+02,6.488e+01,7.449e+04
37.6,8.975e+04,3.074e+02,7.119e+01,9.012e+04
39.1,1.077e+05,5.482e+02,7.516e+01,1.083e+05
40.6,1.346e+05,1.049e+03,6.208e+01,1.357e+05
42.1,1.722e+05,1.841e+03,4.716e+01,1.741e+05
43.6,2.255e+05,3.490e+03,5.471e+01,2.290e+05
45.1,3.010e+05,6.706e+03,1.167e+02,3.078e+05
46.6,4.143e+05,1.006e+04,6.936e+02,4.250e+05
48.1,5.929e+05,7.948e+03,2.662e+03,6.035e+05
49.6,9.369e+05,4.316e+03,6.179e+03,9.474e+05
51.1,1.205e+06,6.274e+03,7.404e+03,1.219e+06
52.7,1.205e+06,8.221e+03,5.596e+03,1.219e+06
54.2,1.356e+06,9.027e+03,6.701e+03,1.372e+06
55.7,1.737e+06,1.139e+04,1.368e+04,1.762e+06
57.2,2.708e+06,2.203e+04,2.792e+04,2.758e+06
58.7,4.025e+06,4.052e+04,4.351e+04,4.109e+06
60.2,4.442e+06,5.389e+04,4.824e+04,4.544e+06
