#time,accel_x,accel_y,accel_z
89.571208,-995.924147,148.041188,9474.636058
89.571533,0.000000,-0.000000,9104.533087
89.571858,76.609550,-0.000000,9030.512492
89.572183,0.000000,-0.000000,9104.533087
89.572508,153.219100,-0.000000,8882.471304
89.572833,306.438199,-296.082377,9104.533087
89.573158,0.000000,370.102971,9326.594869
89.573482,229.828649,-74.020594,9400.615463
89.573807,153.219100,-74.020594,9326.594869
89.574132,0.000000,-0.000000,9104.533087
89.574457,76.609550,-0.000000,9326.594869
89.574782,76.609550,-74.020594,9178.553681
89.575107,-383.047749,222.061783,9474.636058
89.575432,0.000000,-0.000000,9252.574275
89.575757,153.219100,222.061783,9030.512492
89.576082,306.438199,-74.020594,9104.533087
89.576407,0.000000,-0.000000,9178.553681
89.576732,153.219100,-0.000000,8956.491898
89.577057,0.000000,-0.000000,9030.512492
89.577382,383.047749,-0.000000,9326.594869
89.577707,76.609550,-0.000000,9474.636058
89.578031,0.000000,-296.082377,9252.574275
89.578356,0.000000,-222.061783,8808.450710
89.578681,153.219100,-148.041188,9178.553681
89.579006,306.438199,-0.000000,9400.615463
89.579331,229.828649,-74.020594,9030.512492
89.579656,383.047749,-222.061783,9104.533087
89.579981,229.828649,-148.041188,9696.697840
89.580306,766.095498,-222.061783,9474.636058
89.580631,842.705048,-0.000000,9326.594869
89.580956,612.876398,-0.000000,8956.491898
89.581281,766.095498,-148.041188,9326.594869
89.581606,842.705048,-0.000000,9326.594869
89.581931,842.705048,296.082377,8808.450710
89.582256,1072.533697,296.082377,9474.636058
89.582580,1378.971896,222.061783,9178.553681
89.582905,842.705048,-0.000000,9178.553681
89.583230,612.876398,-0.000000,9178.553681
89.583555,536.266849,-0.000000,8882.471304
89.583880,459.657299,-74.020594,9474.636058
89.584205,383.047749,-222.061783,9474.636058
89.584530,536.266849,-222.061783,9326.594869
89.584855,459.657299,-148.041188,9326.594869
89.585180,766.095498,-592.164754,9326.594869
89.585505,536.266849,296.082377,9548.656652
89.585830,689.485948,518.144159,9178.553681
89.586155,919.314598,222.061783,9104.533087
89.586480,766.095498,370.102971,8734.430116
89.586805,995.924147,-0.000000,9030.512492
89.587129,689.485948,296.082377,9030.512492
89.587454,766.095498,-0.000000,8660.409521
89.587779,612.876398,-0.000000,8660.409521
89.588104,76.609550,-0.000000,8808.450710
89.588429,383.047749,-148.041188,9696.697840
89.588754,0.000000,-74.020594,9474.636058
89.589079,0.000000,-666.185348,9696.697840
89.589404,0.000000,-296.082377,9770.718434
89.589729,0.000000,-518.144159,9474.636058
89.590054,0.000000,-0.000000,9474.636058
89.590379,0.000000,-0.000000,8956.491898
89.590704,306.438199,-0.000000,9400.615463
89.591029,0.000000,296.082377,9030.512492
89.591354,306.438199,-222.061783,8734.430116
89.591678,842.705048,-0.000000,9030.512492
89.592003,306.438199,-0.000000,9178.553681
89.592328,459.657299,-0.000000,9178.553681
89.592653,229.828649,-0.000000,9252.574275
89.592978,76.609550,-0.000000,9178.553681
89.593303,-383.047749,-74.020594,9104.533087
89.593628,0.000000,-148.041188,9474.636058
89.593953,229.828649,-296.082377,9474.636058
89.594278,0.000000,-370.102971,9178.553681
89.594603,-459.657299,-592.164754,9844.739029
89.594928,76.609550,-222.061783,9622.677246
89.595253,306.438199,-0.000000,8882.471304
89.595578,536.266849,-0.000000,9400.615463
89.595903,689.485948,-296.082377,9326.594869
89.596227,995.924147,-0.000000,9474.636058
89.596552,995.924147,-74.020594,8586.388927
89.596877,1685.410096,-0.000000,8290.306550
89.597202,1149.143247,296.082377,9030.512492
89.597527,1455.581446,222.061783,9030.512492
89.597852,1072.533697,-0.000000,8734.430116
89.598177,842.705048,-0.000000,8660.409521
89.598502,766.095498,-666.185348,9474.636058
89.598827,459.657299,-370.102971,9474.636058
89.599152,229.828649,-148.041188,9770.718434
89.599477,459.657299,-222.061783,9326.594869
89.599802,383.047749,-148.041188,9326.594869
89.600127,459.657299,-296.082377,9400.615463
89.600452,536.266849,-370.102971,9474.636058
89.600776,842.705048,-222.061783,9178.553681
89.601101,536.266849,-222.061783,8956.491898
89.601426,1302.362347,-0.000000,8808.450710
89.601751,1225.752797,-0.000000,8734.430116
89.602076,1149.143247,-0.000000,8808.450710
89.602401,995.924147,518.144159,8586.388927
89.602726,919.314598,518.144159,8586.388927
89.603051,842.705048,666.185348,8956.491898
89.603376,459.657299,-0.000000,8882.471304
89.603701,76.609550,518.144159,9104.533087
89.604026,153.219100,148.041188,9104.533087
89.604351,-306.438199,148.041188,9178.553681
89.604676,-536.266849,-0.000000,9400.615463
89.605001,-536.266849,-0.000000,9400.615463
89.605326,-536.266849,-0.000000,9400.615463
89.605650,-306.438199,-0.000000,9252.574275
89.605975,0.000000,-0.000000,9622.677246
89.606300,-229.828649,-74.020594,9400.615463
89.606625,-229.828649,-148.041188,9178.553681
89.606950,-536.266849,148.041188,9252.574275
89.607275,-229.828649,-0.000000,9326.594869
89.607600,0.000000,-0.000000,9474.636058
89.607925,0.000000,148.041188,9474.636058
89.608250,-459.657299,-0.000000,9104.533087
89.608575,0.000000,592.164754,9252.574275
89.608900,229.828649,-0.000000,9474.636058
89.609225,153.219100,222.061783,9326.594869
89.609550,229.828649,592.164754,9030.512492
89.609875,153.219100,444.123565,8956.491898
89.610199,0.000000,592.164754,9548.656652
89.610524,0.000000,-0.000000,9326.594869
89.610849,-459.657299,-0.000000,8660.409521
89.611174,76.609550,-0.000000,8734.430116
89.611499,-536.266849,-0.000000,9178.553681
89.611824,-766.095498,-74.020594,9474.636058
89.612149,-766.095498,-74.020594,9326.594869
89.612474,-842.705048,-444.123565,9548.656652
89.612799,-995.924147,-370.102971,9770.718434
89.613124,-995.924147,-666.185348,9400.615463
89.613449,-1302.362347,-444.123565,9696.697840
89.613774,-612.876398,-222.061783,9326.594869
89.614099,-306.438199,222.061783,9326.594869
89.614424,-306.438199,148.041188,8734.430116
89.614748,459.657299,740.205942,9104.533087
89.615073,383.047749,-0.000000,8882.471304
89.615398,383.047749,814.226536,9030.512492
89.615723,459.657299,222.061783,8956.491898
89.616048,0.000000,666.185348,8808.450710
89.616373,-229.828649,444.123565,8882.471304
89.616698,-306.438199,148.041188,8586.388927
89.617023,-383.047749,-148.041188,9178.553681
89.617348,-536.266849,-592.164754,9030.512492
89.617673,-995.924147,-0.000000,9696.697840
89.617998,-1072.533697,-370.102971,9252.574275
89.618323,-842.705048,-888.247130,9178.553681
89.618648,-1149.143247,-0.000000,9400.615463
89.618973,-1225.752797,-148.041188,9400.615463
89.619297,-1072.533697,-0.000000,9326.594869
89.619622,-919.314598,-0.000000,9400.615463
89.619947,-536.266849,-0.000000,8956.491898
89.620272,-612.876398,-0.000000,9326.594869
89.620597,-536.266849,222.061783,9400.615463
89.620922,-612.876398,148.041188,9104.533087
89.621247,-229.828649,222.061783,8734.430116
89.621572,-383.047749,-222.061783,8882.471304
89.621897,-459.657299,-148.041188,9400.615463
89.622222,-383.047749,-148.041188,9400.615463
89.622547,-229.828649,-222.061783,8586.388927
89.622872,-153.219100,-370.102971,9252.574275
89.623197,-383.047749,-0.000000,9178.553681
89.623522,-229.828649,-0.000000,9474.636058
89.623846,-306.438199,296.082377,9178.553681
89.624171,-153.219100,296.082377,9104.533087
89.624496,-229.828649,370.102971,9252.574275
89.624821,-306.438199,-0.000000,9178.553681
89.625146,0.000000,74.020594,9104.533087
