freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.732e+02,3.073e+01,1.623e+01,8.202e+02
1.5,4.570e+02,3.079e+01,2.177e+01,5.096e+02
2.9,3.123e+01,1.966e+01,1.790e+01,6.879e+01
4.4,2.469e+02,1.905e+01,1.867e+01,2.846e+02
5.9,1.071e+03,1.898e+01,1.809e+01,1.108e+03
7.3,1.898e+03,1.904e+01,1.768e+01,1.934e+03
8.8,2.821e+03,2.041e+01,1.784e+01,2.859e+03
10.3,3.826e+03,2.140e+01,1.809e+01,3.866e+03
11.8,5.318e+03,2.248e+01,1.966e+01,5.360e+03
13.2,6.948e+03,2.484e+01,1.915e+01,6.992e+03
14.7,6.998e+03,2.328e+01,1.815e+01,7.039e+03
16.2,7.590e+03,2.262e+01,1.989e+01,7.633e+03
17.6,9.741e+03,2.388e+01,2.056e+01,9.785e+03
19.1,1.257e+04,2.537e+01,2.102e+01,1.262e+04
20.6,1.553e+04,2.683e+01,2.389e+01,1.559e+04
22.0,1.875e+04,3.001e+01,2.626e+01,1.880e+04
23.5,2.198e+04,3.416e+01,2.595e+01,2.204e+04
25.0,2.597e+04,4.446e+01,2.577e+01,2.604e+04
26.5,3.130e+04,4.821e+01,3.111e+01,3.138e+04
27.9,3.784e+04,6.450e+01,4.152e+01,3.795e+04
29.4,4.610e+04,8.442e+01,5.872e+01,4.624e+04
30.9,5.523e+04,1.102e+02,8.365e+01,5.542e+04
32.3,6.602e+04,1.299e+02,1.285e+02,6.628e+04
33.8,8.210e+04,1.701e+02,2.091e+02,8.248e+04
35.3,1.035e+05,2.576e+02,4.061e+02,1.042e+05
36.7,1.271e+05,4.346e+02,8.025e+02,1.283e+05
38.2,1.587e+05,1.265e+03,1.769e+03,1.617e+05
39.7,2.087e+05,5.735e+03,4.129e+03,2.185e+05
41.2,2.776e+05,1.564e+04,5.718e+03,2.989e+05
42.6,3.879e+05,2.231e+04,3.594e+03,4.138e+05
44.1,5.824e+05,2.476e+04,1.464e+03,6.086e+05
45.6,9.017e+05,2.572e+04,2.052e+03,9.295e+05
47.0,1.332e+06,2.938e+04,4.730e+03,1.366e+06
48.5,1.606e+06,2.867e+04,7.055e+03,1.641e+06
50.0,1.658e+06,2.306e+04,5.711e+03,1.687e+06
51.4,1.763e+06,2.413e+04,2.448e+03,1.789e+06
52.9,1.904e+06,2.398e+04,6.273e+03,1.934e+06
54.4,1.922e+06,1.775e+04,1.737e+04,1.957e+06
55.9,1.852e+06,1.182e+04,2.692e+04,1.891e+06
57.3,1.767e+06,9.535e+03,3.193e+04,1.808e+06
58.8,1.624e+06,9.478e+03,3.167e+04,1.665e+06
60.3,1.438e+06,9.657e+03,2.789e+04,1.476e+06
61.7,1.258e+06,9.854e+03,2.444e+04,1.293e+06
63.2,1.079e+06,9.822e+03,2.190e+04,1.111e+06
64.7,9.054e+05,9.227e+03,1.933e+04,9.340e+05
66.1,7.702e+05,8.692e+03,1.741e+04,7.963e+05
67.6,6.677e+05,8.464e+03,1.595e+04,6.921e+05
69.1,5.723e+05,8.190e+03,1.453e+04,5.950e+05
70.6,4.839e+05,7.737e+03,1.309e+04,5.047e+05
72.0,4.221e+05,7.400e+03,1.195e+04,4.415e+05
73.5,3.793e+05,7.206e+03,1.152e+04,3.980e+05
75.0,3.451e+05,7.084e+03,1.152e+04,3.637e+05
76.4,3.170e+05,7.024e+03,1.175e+04,3.358e+05
77.9,2.971e+05,6.972e+03,1.229e+04,3.164e+05
79.4,2.837e+05,7.089e+03,1.277e+04,3.036e+05
80.8,2.720e+05,7.232e+03,1.287e+04,2.921e+05
82.3,2.575e+05,7.419e+03,1.267e+04,2.776e+05
83.8,2.449e+05,7.581e+03,1.271e+04,2.652e+05
85.3,2.435e+05,7.638e+03,1.300e+04,2.642e+05
86.7,2.329e+05,7.886e+03,1.304e+04,2.538e+05
88.2,2.174e+05,8.451e+03,1.323e+04,2.391e+05
89.7,2.062e+05,9.104e+03,1.373e+04,2.290e+05
91.1,2.017e+05,9.558e+03,1.473e+04,2.260e+05
92.6,2.041e+05,1.040e+04,1.550e+04,2.300e+05
94.1,2.106e+05,1.249e+04,1.587e+04,2.390e+05
95.5,2.140e+05,1.462e+04,1.591e+04,2.446e+05
97.0,2.107e+05,1.577e+04,1.525e+04,2.417e+05
98.5,2.017e+05,1.612e+04,1.372e+04,2.315e+05
100.0,2.025e+05,1.748e+04,1.228e+04,2.322e+05
101.4,2.077e+05,1.945e+04,1.070e+04,2.378e+05
102.9,2.155e+05,2.355e+04,1.069e+04,2.497e+05
104.4,2.265e+05,3.334e+04,1.471e+04,2.746e+05
105.8,2.328e+05,4.607e+04,2.247e+04,3.013e+05
107.3,2.340e+05,5.722e+04,3.025e+04,3.214e+05
108.8,2.311e+05,6.624e+04,3.528e+04,3.326e+05
110.2,2.275e+05,7.253e+04,3.746e+04,3.375e+05
111.7,2.160e+05,7.193e+04,3.591e+04,3.239e+05
113.2,2.054e+05,6.973e+04,3.365e+04,3.088e+05
114.7,2.139e+05,7.449e+04,3.356e+04,3.219e+05
116.1,2.238e+05,8.039e+04,3.476e+04,3.389e+05
117.6,2.304e+05,8.462e+04,3.672e+04,3.517e+05
119.1,2.369e+05,9.322e+04,3.931e+04,3.694e+05
120.5,2.482e+05,1.127e+05,4.175e+04,4.027e+05
122.0,2.742e+05,1.408e+05,4.758e+04,4.625e+05
123.5,2.757e+05,1.512e+05,4.760e+04,4.745e+05
124.9,2.778e+05,1.686e+05,4.655e+04,4.930e+05
126.4,2.956e+05,1.997e+05,4.772e+04,5.430e+05
127.9,3.328e+05,2.480e+05,5.359e+04,6.343e+05
129.4,3.769e+05,2.958e+05,6.448e+04,7.371e+05
130.8,4.200e+05,3.502e+05,7.648e+04,8.467e+05
132.3,3.825e+05,3.363e+05,7.418e+04,7.929e+05
133.8,1.153e+05,1.061e+05,2.360e+04,2.450e+05
135.2,2.256e+04,2.457e+04,5.569e+03,5.270e+04
136.7,2.318e+04,2.663e+04,6.274e+03,5.608e+04
138.2,2.536e+04,3.123e+04,7.551e+03,6.414e+04
139.6,2.438e+04,3.100e+04,7.889e+03,6.327e+04
141.1,2.248e+04,2.982e+04,8.181e+03,6.048e+04
142.6,1.999e+04,2.775e+04,8.014e+03,5.576e+04
144.1,1.691e+04,2.478e+04,7.311e+03,4.900e+04
145.5,1.423e+04,2.157e+04,6.338e+03,4.214e+04
147.0,1.084e+04,1.645e+04,4.784e+03,3.208e+04
148.5,8.270e+03,1.214e+04,3.476e+03,2.388e+04
149.9,6.571e+03,9.626e+03,2.653e+03,1.885e+04
151.4,5.715e+03,8.903e+03,2.316e+03,1.693e+04
152.9,5.002e+03,8.412e+03,2.177e+03,1.559e+04
154.3,4.310e+03,7.967e+03,2.129e+03,1.441e+04
155.8,3.396e+03,6.861e+03,1.855e+03,1.211e+04
157.3,2.507e+03,5.305e+03,1.523e+03,9.335e+03
158.8,1.708e+03,3.987e+03,1.171e+03,6.866e+03
160.2,1.165e+03,2.986e+03,8.313e+02,4.982e+03
161.7,9.233e+02,2.276e+03,6.273e+02,3.826e+03
163.2,8.006e+02,1.754e+03,4.990e+02,3.053e+03
164.6,6.621e+02,1.426e+03,3.892e+02,2.478e+03
166.1,6.179e+02,1.514e+03,4.017e+02,2.534e+03
167.6,6.816e+02,1.431e+03,3.816e+02,2.494e+03
169.0,7.408e+02,1.255e+03,3.393e+02,2.335e+03
170.5,7.943e+02,1.200e+03,3.509e+02,2.346e+03
172.0,8.180e+02,1.133e+03,3.787e+02,2.329e+03
173.5,8.108e+02,1.023e+03,4.112e+02,2.245e+03
174.9,7.742e+02,8.839e+02,4.433e+02,2.101e+03
176.4,8.190e+02,9.034e+02,5.663e+02,2.289e+03
177.9,1.002e+03,1.193e+03,8.086e+02,3.003e+03
179.3,1.286e+03,1.730e+03,1.134e+03,4.150e+03
180.8,1.442e+03,1.908e+03,1.242e+03,4.592e+03
182.3,1.514e+03,1.988e+03,1.235e+03,4.737e+03
183.7,1.514e+03,1.999e+03,1.216e+03,4.729e+03
185.2,1.512e+03,2.093e+03,1.248e+03,4.854e+03
186.7,1.480e+03,2.032e+03,1.275e+03,4.787e+03
188.2,1.444e+03,1.984e+03,1.320e+03,4.747e+03
189.6,1.464e+03,2.036e+03,1.415e+03,4.915e+03
191.1,1.445e+03,2.062e+03,1.521e+03,5.028e+03
192.6,1.493e+03,2.152e+03,1.642e+03,5.287e+03
194.0,1.652e+03,2.641e+03,1.982e+03,6.275e+03
195.5,1.748e+03,2.898e+03,2.146e+03,6.791e+03
197.0,1.734e+03,2.800e+03,2.080e+03,6.614e+03
198.4,1.716e+03,2.769e+03,2.069e+03,6.554e+03
199.9,1.637e+03,2.637e+03,1.963e+03,6.238e+03
